country,department,course_name,mandatory_flag,assignment_month,learning_record_count,completed_count,overdue_count,completion_rate,overdue_rate,avg_days_to_complete
UK,Sales,Advanced Analytics,0,2025-08-01 00:00:00,5,4,1,0.8,0.2,20.3
UK,Customer Support,Health and Safety,1,2026-03-01 00:00:00,3,1,0,0.3333,0.0,10.0
Germany,Customer Support,Data Protection,1,2025-11-01 00:00:00,1,1,0,1.0,0.0,10.0
UK,Supply Chain,Health and Safety,1,2025-02-01 00:00:00,6,4,2,0.6667,0.3333,26.5
Germany,Operations,Advanced Analytics,0,2025-03-01 00:00:00,4,0,4,0.0,1.0,
Netherlands,Operations,Stakeholder Management,0,2025-03-01 00:00:00,2,0,2,0.0,1.0,
UK,Sales,Stakeholder Management,0,2025-12-01 00:00:00,3,3,0,1.0,0.0,19.3
UK,Sales,Advanced Analytics,0,2025-03-01 00:00:00,8,3,5,0.375,0.625,15.7
UK,Customer Support,Advanced Analytics,0,2025-03-01 00:00:00,6,3,3,0.5,0.5,21.0
UK,Operations,Health and Safety,1,2025-07-01 00:00:00,6,5,1,0.8333,0.1667,29.6
UK,Sales,Advanced Analytics,0,2026-01-01 00:00:00,7,5,0,0.7143,0.0,22.0
UK,Sales,Leadership Essentials,0,2025-02-01 00:00:00,3,2,1,0.6667,0.3333,16.5
UK,Supply Chain,Stakeholder Management,0,2025-05-01 00:00:00,8,4,4,0.5,0.5,17.5
France,Sales,Leadership Essentials,0,2025-06-01 00:00:00,3,2,1,0.6667,0.3333,25.0
Germany,Sales,Leadership Essentials,0,2025-09-01 00:00:00,1,1,0,1.0,0.0,16.0
UK,Finance,Health and Safety,1,2025-05-01 00:00:00,2,2,0,1.0,0.0,6.5
France,Supply Chain,Leadership Essentials,0,2025-09-01 00:00:00,1,0,1,0.0,1.0,
Germany,Supply Chain,Leadership Essentials,0,2025-02-01 00:00:00,3,0,3,0.0,1.0,
UK,Supply Chain,Advanced Analytics,0,2025-06-01 00:00:00,8,3,5,0.375,0.625,22.3
UK,Technology,Leadership Essentials,0,2025-04-01 00:00:00,4,4,0,1.0,0.0,10.5
UK,Supply Chain,Stakeholder Management,0,2025-08-01 00:00:00,7,3,4,0.4286,0.5714,33.7
UK,Customer Support,Advanced Analytics,0,2025-05-01 00:00:00,5,3,2,0.6,0.4,19.3
UK,People,Code of Conduct,1,2026-03-01 00:00:00,2,2,0,1.0,0.0,3.5
UK,Technology,Code of Conduct,1,2026-01-01 00:00:00,3,2,1,0.6667,0.3333,5.0
France,Operations,Health and Safety,1,2025-10-01 00:00:00,2,2,0,1.0,0.0,29.5
Germany,Operations,Data Protection,1,2026-02-01 00:00:00,2,1,1,0.5,0.5,15.0
UK,Commercial,Leadership Essentials,0,2025-12-01 00:00:00,3,2,1,0.6667,0.3333,8.5
France,Customer Support,Health and Safety,1,2025-02-01 00:00:00,1,1,0,1.0,0.0,7.0
UK,Supply Chain,Data Protection,1,2025-11-01 00:00:00,5,4,1,0.8,0.2,26.0
UK,People,Leadership Essentials,0,2025-10-01 00:00:00,1,1,0,1.0,0.0,14.0
UK,Customer Support,Advanced Analytics,0,2025-08-01 00:00:00,4,2,2,0.5,0.5,13.5
Germany,Finance,Advanced Analytics,0,2025-09-01 00:00:00,1,0,1,0.0,1.0,
Germany,Operations,Stakeholder Management,0,2026-03-01 00:00:00,5,0,0,0.0,0.0,
Netherlands,Operations,Advanced Analytics,0,2025-12-01 00:00:00,2,1,1,0.5,0.5,60.0
Netherlands,Operations,Health and Safety,1,2025-11-01 00:00:00,1,1,0,1.0,0.0,23.0
UK,Customer Support,Advanced Analytics,0,2026-01-01 00:00:00,3,2,0,0.6667,0.0,25.5
France,Supply Chain,Health and Safety,1,2025-12-01 00:00:00,1,1,0,1.0,0.0,23.0
UK,Customer Support,Code of Conduct,1,2025-02-01 00:00:00,1,1,0,1.0,0.0,26.0
Netherlands,Technology,Stakeholder Management,0,2026-02-01 00:00:00,4,2,0,0.5,0.0,15.5
Germany,Technology,Leadership Essentials,0,2025-09-01 00:00:00,1,1,0,1.0,0.0,10.0
Germany,Commercial,Health and Safety,1,2025-05-01 00:00:00,1,1,0,1.0,0.0,18.0
UK,Commercial,Stakeholder Management,0,2025-11-01 00:00:00,2,1,1,0.5,0.5,18.0
UK,Supply Chain,Stakeholder Management,0,2026-01-01 00:00:00,8,2,2,0.25,0.25,27.0
UK,Supply Chain,Code of Conduct,1,2026-02-01 00:00:00,5,5,0,1.0,0.0,21.2
Germany,Operations,Leadership Essentials,0,2025-04-01 00:00:00,3,1,2,0.3333,0.6667,18.0
UK,Customer Support,Leadership Essentials,0,2025-10-01 00:00:00,7,4,3,0.5714,0.4286,14.3
Germany,Operations,Advanced Analytics,0,2025-08-01 00:00:00,2,1,1,0.5,0.5,27.0
UK,Finance,Stakeholder Management,0,2025-10-01 00:00:00,3,3,0,1.0,0.0,7.0
UK,Supply Chain,Stakeholder Management,0,2025-03-01 00:00:00,4,1,3,0.25,0.75,40.0
UK,Operations,Data Protection,1,2025-01-01 00:00:00,6,4,2,0.6667,0.3333,22.0
Germany,Operations,Advanced Analytics,0,2025-05-01 00:00:00,3,0,3,0.0,1.0,
UK,Technology,Advanced Analytics,0,2025-10-01 00:00:00,3,3,0,1.0,0.0,13.3
France,Supply Chain,Advanced Analytics,0,2025-09-01 00:00:00,1,0,1,0.0,1.0,
UK,Sales,Advanced Analytics,0,2025-05-01 00:00:00,3,2,1,0.6667,0.3333,20.0
UK,Supply Chain,Leadership Essentials,0,2025-07-01 00:00:00,5,2,3,0.4,0.6,32.0
France,Sales,Advanced Analytics,0,2025-10-01 00:00:00,2,0,2,0.0,1.0,
UK,Operations,Code of Conduct,1,2025-12-01 00:00:00,6,3,3,0.5,0.5,32.3
UK,Technology,Stakeholder Management,0,2026-03-01 00:00:00,4,2,0,0.5,0.0,11.0
Germany,People,Leadership Essentials,0,2025-04-01 00:00:00,3,2,1,0.6667,0.3333,13.0
France,People,Leadership Essentials,0,2025-09-01 00:00:00,1,1,0,1.0,0.0,18.0
UK,Operations,Data Protection,1,2025-11-01 00:00:00,6,3,3,0.5,0.5,34.0
Germany,Sales,Advanced Analytics,0,2025-01-01 00:00:00,1,1,0,1.0,0.0,39.0
Netherlands,Supply Chain,Advanced Analytics,0,2025-12-01 00:00:00,1,1,0,1.0,0.0,49.0
Germany,Customer Support,Advanced Analytics,0,2025-05-01 00:00:00,1,1,0,1.0,0.0,17.0
France,Technology,Data Protection,1,2025-12-01 00:00:00,2,1,1,0.5,0.5,18.0
France,Finance,Leadership Essentials,0,2025-08-01 00:00:00,1,1,0,1.0,0.0,9.0
UK,Technology,Code of Conduct,1,2025-05-01 00:00:00,1,1,0,1.0,0.0,6.0
Netherlands,Supply Chain,Code of Conduct,1,2025-07-01 00:00:00,1,1,0,1.0,0.0,27.0
France,Commercial,Health and Safety,1,2025-02-01 00:00:00,1,1,0,1.0,0.0,11.0
Germany,Customer Support,Leadership Essentials,0,2025-09-01 00:00:00,1,1,0,1.0,0.0,28.0
Netherlands,Customer Support,Data Protection,1,2026-03-01 00:00:00,1,1,0,1.0,0.0,17.0
France,Commercial,Data Protection,1,2025-05-01 00:00:00,1,1,0,1.0,0.0,17.0
Germany,Sales,Advanced Analytics,0,2025-11-01 00:00:00,2,1,1,0.5,0.5,36.0
France,Operations,Stakeholder Management,0,2025-12-01 00:00:00,1,1,0,1.0,0.0,19.0
France,Customer Support,Data Protection,1,2025-10-01 00:00:00,1,1,0,1.0,0.0,20.0
UK,People,Stakeholder Management,0,2025-09-01 00:00:00,2,2,0,1.0,0.0,12.0
Germany,Customer Support,Data Protection,1,2025-01-01 00:00:00,1,1,0,1.0,0.0,6.0
Ireland,Operations,Leadership Essentials,0,2026-02-01 00:00:00,1,1,0,1.0,0.0,13.0
Ireland,Operations,Stakeholder Management,0,2025-02-01 00:00:00,1,0,1,0.0,1.0,
France,Commercial,Data Protection,1,2026-01-01 00:00:00,1,1,0,1.0,0.0,21.0
Germany,Supply Chain,Data Protection,1,2025-12-01 00:00:00,3,0,3,0.0,1.0,
UK,Technology,Health and Safety,1,2025-07-01 00:00:00,3,3,0,1.0,0.0,11.7
UK,Technology,Code of Conduct,1,2025-03-01 00:00:00,4,4,0,1.0,0.0,6.8
France,Commercial,Data Protection,1,2025-03-01 00:00:00,1,1,0,1.0,0.0,9.0
Netherlands,Operations,Stakeholder Management,0,2026-01-01 00:00:00,2,1,0,0.5,0.0,41.0
France,Finance,Code of Conduct,1,2025-06-01 00:00:00,1,1,0,1.0,0.0,7.0
UK,Finance,Code of Conduct,1,2026-02-01 00:00:00,2,2,0,1.0,0.0,5.5
Germany,Customer Support,Advanced Analytics,0,2025-03-01 00:00:00,1,0,1,0.0,1.0,
Netherlands,Commercial,Health and Safety,1,2026-03-01 00:00:00,1,1,0,1.0,0.0,11.0
Ireland,Commercial,Advanced Analytics,0,2025-04-01 00:00:00,1,0,1,0.0,1.0,
Germany,Operations,Advanced Analytics,0,2026-01-01 00:00:00,3,0,1,0.0,0.3333,
France,Operations,Code of Conduct,1,2025-07-01 00:00:00,1,1,0,1.0,0.0,38.0
France,Operations,Advanced Analytics,0,2025-04-01 00:00:00,2,2,0,1.0,0.0,32.5
UK,Commercial,Stakeholder Management,0,2025-01-01 00:00:00,2,2,0,1.0,0.0,16.0
Netherlands,Operations,Stakeholder Management,0,2025-05-01 00:00:00,3,1,2,0.3333,0.6667,59.0
Ireland,Supply Chain,Stakeholder Management,0,2025-04-01 00:00:00,1,0,1,0.0,1.0,
Germany,Technology,Data Protection,1,2025-05-01 00:00:00,1,0,1,0.0,1.0,
Netherlands,Supply Chain,Stakeholder Management,0,2026-03-01 00:00:00,1,0,0,0.0,0.0,
Ireland,Supply Chain,Advanced Analytics,0,2025-06-01 00:00:00,1,1,0,1.0,0.0,42.0
Netherlands,People,Advanced Analytics,0,2026-03-01 00:00:00,1,1,0,1.0,0.0,5.0
Netherlands,Operations,Stakeholder Management,0,2025-08-01 00:00:00,1,1,0,1.0,0.0,33.0
Netherlands,Operations,Code of Conduct,1,2025-10-01 00:00:00,2,1,1,0.5,0.5,30.0
UK,Commercial,Code of Conduct,1,2025-06-01 00:00:00,1,1,0,1.0,0.0,7.0
Netherlands,Operations,Data Protection,1,2025-09-01 00:00:00,1,0,1,0.0,1.0,
Ireland,Operations,Health and Safety,1,2025-09-01 00:00:00,1,1,0,1.0,0.0,22.0
Netherlands,Commercial,Stakeholder Management,0,2025-09-01 00:00:00,1,0,1,0.0,1.0,
Germany,Finance,Stakeholder Management,0,2025-11-01 00:00:00,1,0,1,0.0,1.0,
UK,Commercial,Data Protection,1,2025-07-01 00:00:00,1,1,0,1.0,0.0,4.0
Germany,Customer Support,Stakeholder Management,0,2025-06-01 00:00:00,1,1,0,1.0,0.0,32.0
Ireland,Commercial,Stakeholder Management,0,2025-04-01 00:00:00,1,0,1,0.0,1.0,
France,Finance,Leadership Essentials,0,2026-01-01 00:00:00,1,1,0,1.0,0.0,4.0
France,Commercial,Stakeholder Management,0,2026-02-01 00:00:00,1,0,0,0.0,0.0,
UK,Finance,Health and Safety,1,2025-03-01 00:00:00,1,1,0,1.0,0.0,3.0
Ireland,Finance,Advanced Analytics,0,2025-02-01 00:00:00,1,1,0,1.0,0.0,7.0
Ireland,Operations,Health and Safety,1,2026-01-01 00:00:00,1,0,1,0.0,1.0,
Ireland,Operations,Advanced Analytics,0,2025-02-01 00:00:00,1,1,0,1.0,0.0,62.0
UK,Sales,Data Protection,1,2025-04-01 00:00:00,3,2,1,0.6667,0.3333,14.5
UK,Operations,Data Protection,1,2025-10-01 00:00:00,7,4,3,0.5714,0.4286,29.8
UK,Operations,Leadership Essentials,0,2025-04-01 00:00:00,12,6,6,0.5,0.5,22.7
Netherlands,Operations,Stakeholder Management,0,2025-09-01 00:00:00,4,3,1,0.75,0.25,38.7
UK,Supply Chain,Data Protection,1,2025-10-01 00:00:00,8,8,0,1.0,0.0,26.0
Ireland,Sales,Stakeholder Management,0,2025-01-01 00:00:00,1,1,0,1.0,0.0,10.0
Germany,Technology,Stakeholder Management,0,2026-03-01 00:00:00,2,0,0,0.0,0.0,
Germany,Finance,Advanced Analytics,0,2025-05-01 00:00:00,1,0,1,0.0,1.0,
UK,Technology,Code of Conduct,1,2025-09-01 00:00:00,1,1,0,1.0,0.0,10.0
UK,Customer Support,Leadership Essentials,0,2025-01-01 00:00:00,6,2,4,0.3333,0.6667,17.0
Netherlands,Operations,Data Protection,1,2026-01-01 00:00:00,2,2,0,1.0,0.0,12.5
Germany,Finance,Data Protection,1,2025-11-01 00:00:00,2,1,1,0.5,0.5,10.0
France,Supply Chain,Leadership Essentials,0,2025-05-01 00:00:00,5,3,2,0.6,0.4,28.3
UK,Sales,Stakeholder Management,0,2025-07-01 00:00:00,5,4,1,0.8,0.2,19.3
France,Supply Chain,Stakeholder Management,0,2025-06-01 00:00:00,4,2,2,0.5,0.5,40.5
UK,Commercial,Advanced Analytics,0,2026-03-01 00:00:00,3,1,0,0.3333,0.0,15.0
UK,Operations,Advanced Analytics,0,2025-07-01 00:00:00,12,1,11,0.0833,0.9167,37.0
Germany,Sales,Leadership Essentials,0,2025-05-01 00:00:00,1,0,1,0.0,1.0,
UK,Technology,Advanced Analytics,0,2025-11-01 00:00:00,4,3,1,0.75,0.25,17.3
Germany,Supply Chain,Health and Safety,1,2025-04-01 00:00:00,4,2,2,0.5,0.5,26.0
UK,People,Stakeholder Management,0,2025-05-01 00:00:00,2,2,0,1.0,0.0,6.5
UK,Commercial,Stakeholder Management,0,2025-10-01 00:00:00,3,3,0,1.0,0.0,14.7
Netherlands,Technology,Code of Conduct,1,2026-03-01 00:00:00,2,2,0,1.0,0.0,6.0
Germany,Operations,Code of Conduct,1,2026-03-01 00:00:00,3,2,0,0.6667,0.0,7.0
UK,Supply Chain,Stakeholder Management,0,2025-09-01 00:00:00,5,3,2,0.6,0.4,30.7
UK,Operations,Health and Safety,1,2025-12-01 00:00:00,8,3,5,0.375,0.625,18.3
France,Supply Chain,Data Protection,1,2025-06-01 00:00:00,4,2,2,0.5,0.5,25.0
Germany,Sales,Leadership Essentials,0,2026-01-01 00:00:00,3,1,1,0.3333,0.3333,24.0
UK,Finance,Advanced Analytics,0,2025-02-01 00:00:00,3,3,0,1.0,0.0,9.7
Germany,Operations,Advanced Analytics,0,2025-09-01 00:00:00,3,0,3,0.0,1.0,
UK,Finance,Stakeholder Management,0,2025-11-01 00:00:00,3,2,1,0.6667,0.3333,9.5
France,Supply Chain,Advanced Analytics,0,2025-05-01 00:00:00,1,0,1,0.0,1.0,
UK,Technology,Advanced Analytics,0,2025-01-01 00:00:00,4,3,1,0.75,0.25,16.3
UK,Customer Support,Advanced Analytics,0,2025-09-01 00:00:00,7,4,3,0.5714,0.4286,17.5
UK,Finance,Stakeholder Management,0,2025-01-01 00:00:00,4,4,0,1.0,0.0,14.8
France,Operations,Health and Safety,1,2025-11-01 00:00:00,2,1,1,0.5,0.5,17.0
Germany,Operations,Health and Safety,1,2025-04-01 00:00:00,3,1,2,0.3333,0.6667,33.0
UK,Customer Support,Stakeholder Management,0,2026-03-01 00:00:00,6,4,0,0.6667,0.0,12.3
Germany,Finance,Code of Conduct,1,2025-12-01 00:00:00,1,0,1,0.0,1.0,
Germany,Technology,Leadership Essentials,0,2025-05-01 00:00:00,3,1,2,0.3333,0.6667,10.0
UK,Customer Support,Leadership Essentials,0,2025-11-01 00:00:00,6,1,5,0.1667,0.8333,14.0
France,Customer Support,Stakeholder Management,0,2025-12-01 00:00:00,1,1,0,1.0,0.0,9.0
France,Supply Chain,Advanced Analytics,0,2025-08-01 00:00:00,1,0,1,0.0,1.0,
France,Commercial,Code of Conduct,1,2025-02-01 00:00:00,2,2,0,1.0,0.0,18.0
UK,Finance,Data Protection,1,2025-05-01 00:00:00,3,3,0,1.0,0.0,3.3
Germany,Supply Chain,Advanced Analytics,0,2025-04-01 00:00:00,3,0,3,0.0,1.0,
Ireland,Operations,Health and Safety,1,2025-08-01 00:00:00,1,0,1,0.0,1.0,
