country,department,job_role,gender,application_month,application_count,screen_count,interview_count,offer_count,hired_count,screen_rate,interview_rate,offer_rate,hire_rate
Germany,Operations,Construction Supervisor,Male,2026-02-01 00:00:00,7,5,2,1,1,0.7143,0.2857,0.1429,0.1429
Germany,Operations,Site Engineer,Male,2025-12-01 00:00:00,4,3,3,1,1,0.75,0.75,0.25,0.25
Germany,Operations,Project Manager,Female,2026-01-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
UK,Sales,Account Manager,Male,2025-04-01 00:00:00,25,21,14,5,4,0.84,0.56,0.2,0.16
UK,People,HR Advisor,Male,2025-07-01 00:00:00,27,19,15,10,6,0.7037,0.5556,0.3704,0.2222
Germany,Technology,Data Analyst,Male,2026-02-01 00:00:00,7,6,2,0,0,0.8571,0.2857,0.0,0.0
UK,Supply Chain,Warehouse Manager,Male,2025-08-01 00:00:00,11,7,5,2,1,0.6364,0.4545,0.1818,0.0909
UK,Supply Chain,Logistics Coordinator,Male,2025-09-01 00:00:00,10,7,4,1,1,0.7,0.4,0.1,0.1
Ireland,Technology,Software Engineer,Male,2026-02-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
UK,Operations,Site Engineer,Male,2025-09-01 00:00:00,19,16,11,2,1,0.8421,0.5789,0.1053,0.0526
UK,Supply Chain,Warehouse Manager,Male,2026-01-01 00:00:00,12,8,4,1,1,0.6667,0.3333,0.0833,0.0833
Netherlands,Operations,Construction Supervisor,Male,2025-09-01 00:00:00,3,2,2,2,1,0.6667,0.6667,0.6667,0.3333
France,Supply Chain,Procurement Specialist,Male,2025-04-01 00:00:00,2,2,1,1,1,1.0,0.5,0.5,0.5
UK,Technology,Data Engineer,Male,2026-03-01 00:00:00,12,11,9,3,2,0.9167,0.75,0.25,0.1667
UK,Technology,Software Engineer,Female,2025-04-01 00:00:00,2,1,0,0,0,0.5,0.0,0.0,0.0
Germany,People,HR Business Partner,Male,2025-07-01 00:00:00,9,8,6,2,1,0.8889,0.6667,0.2222,0.1111
Netherlands,Supply Chain,Procurement Specialist,Male,2025-10-01 00:00:00,5,2,2,1,1,0.4,0.4,0.2,0.2
France,Technology,Data Engineer,Female,2026-03-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
France,Sales,Sales Executive,Female,2025-12-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
France,Customer Support,Customer Support Rep,Male,2025-07-01 00:00:00,4,2,2,2,2,0.5,0.5,0.5,0.5
France,Commercial,Commercial Analyst,Female,2025-09-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Germany,People,HR Advisor,Male,2025-10-01 00:00:00,5,1,1,0,0,0.2,0.2,0.0,0.0
Netherlands,Sales,Sales Executive,Male,2025-10-01 00:00:00,3,3,3,2,2,1.0,1.0,0.6667,0.6667
UK,Supply Chain,Warehouse Manager,Male,2025-05-01 00:00:00,17,13,7,3,3,0.7647,0.4118,0.1765,0.1765
France,Operations,Project Manager,Male,2025-12-01 00:00:00,5,2,2,1,1,0.4,0.4,0.2,0.2
Germany,Operations,Site Engineer,Female,2025-11-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Germany,Technology,Data Engineer,Male,2025-12-01 00:00:00,8,8,3,3,3,1.0,0.375,0.375,0.375
Netherlands,Sales,Account Manager,Female,2025-08-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Ireland,Finance,Accountant,Female,2025-07-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Germany,Commercial,Pricing Manager,Female,2025-11-01 00:00:00,2,1,0,0,0,0.5,0.0,0.0,0.0
France,Sales,Sales Executive,Male,2025-06-01 00:00:00,2,2,1,1,0,1.0,0.5,0.5,0.0
France,Technology,Software Engineer,Female,2025-12-01 00:00:00,2,1,0,0,0,0.5,0.0,0.0,0.0
Ireland,Sales,Sales Executive,Male,2025-12-01 00:00:00,2,1,1,1,0,0.5,0.5,0.5,0.0
Netherlands,Customer Support,Customer Success Manager,Female,2026-01-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Netherlands,People,HR Advisor,Male,2025-10-01 00:00:00,6,4,2,1,0,0.6667,0.3333,0.1667,0.0
UK,Supply Chain,Warehouse Manager,Male,2025-03-01 00:00:00,1,1,1,1,1,1.0,1.0,1.0,1.0
Netherlands,Customer Support,Customer Success Manager,Male,2026-03-01 00:00:00,6,4,4,3,1,0.6667,0.6667,0.5,0.1667
Netherlands,Customer Support,Customer Support Rep,Female,2025-04-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
UK,People,HR Business Partner,Female,2025-04-01 00:00:00,3,3,2,2,2,1.0,0.6667,0.6667,0.6667
Germany,Customer Support,Customer Success Manager,Female,2025-08-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
UK,Operations,Project Manager,Female,2025-06-01 00:00:00,2,2,2,1,0,1.0,1.0,0.5,0.0
Ireland,People,HR Advisor,Male,2026-02-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Ireland,People,HR Business Partner,Male,2025-10-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
France,Technology,Data Engineer,Male,2025-12-01 00:00:00,3,2,1,0,0,0.6667,0.3333,0.0,0.0
Ireland,Technology,Data Analyst,Male,2026-02-01 00:00:00,2,2,1,1,1,1.0,0.5,0.5,0.5
UK,Supply Chain,Warehouse Manager,Female,2025-06-01 00:00:00,2,2,1,0,0,1.0,0.5,0.0,0.0
France,Commercial,Pricing Manager,Male,2025-07-01 00:00:00,2,1,0,0,0,0.5,0.0,0.0,0.0
UK,Finance,Accountant,Female,2025-09-01 00:00:00,2,2,1,1,1,1.0,0.5,0.5,0.5
UK,Operations,Site Engineer,Female,2025-07-01 00:00:00,2,2,1,0,0,1.0,0.5,0.0,0.0
Netherlands,Supply Chain,Warehouse Manager,Male,2026-02-01 00:00:00,2,2,2,0,0,1.0,1.0,0.0,0.0
Netherlands,Operations,Construction Supervisor,Female,2025-09-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Ireland,Operations,Construction Supervisor,Male,2025-06-01 00:00:00,2,2,0,0,0,1.0,0.0,0.0,0.0
Ireland,Supply Chain,Logistics Coordinator,Female,2025-07-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
UK,Commercial,Commercial Analyst,Female,2025-10-01 00:00:00,3,2,1,0,0,0.6667,0.3333,0.0,0.0
Germany,Sales,Account Manager,Female,2025-12-01 00:00:00,1,1,1,1,0,1.0,1.0,1.0,0.0
Ireland,Commercial,Pricing Manager,Male,2025-09-01 00:00:00,2,1,0,0,0,0.5,0.0,0.0,0.0
France,Operations,Site Engineer,Male,2025-11-01 00:00:00,2,2,2,1,0,1.0,1.0,0.5,0.0
France,Finance,Financial Analyst,Female,2026-02-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
France,Technology,Software Engineer,Male,2025-07-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Ireland,Technology,Data Engineer,Male,2025-12-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
France,Customer Support,Customer Support Rep,Female,2025-05-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
France,Technology,Data Analyst,Male,2025-04-01 00:00:00,3,3,1,1,1,1.0,0.3333,0.3333,0.3333
Netherlands,People,HR Business Partner,Female,2025-10-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Ireland,Sales,Sales Executive,Female,2025-09-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Germany,Technology,Data Engineer,Female,2026-02-01 00:00:00,1,1,1,1,1,1.0,1.0,1.0,1.0
Netherlands,Customer Support,Customer Success Manager,Female,2025-08-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
France,Operations,Site Engineer,Female,2025-08-01 00:00:00,1,1,1,1,0,1.0,1.0,1.0,0.0
France,Commercial,Pricing Manager,Female,2025-04-01 00:00:00,1,1,1,0,0,1.0,1.0,0.0,0.0
Netherlands,Operations,Site Engineer,Female,2026-01-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
Netherlands,Customer Support,Customer Success Manager,Female,2025-09-01 00:00:00,2,1,0,0,0,0.5,0.0,0.0,0.0
UK,Supply Chain,Warehouse Manager,Male,2025-09-01 00:00:00,14,11,7,2,1,0.7857,0.5,0.1429,0.0714
Ireland,Finance,Accountant,Male,2025-12-01 00:00:00,1,1,1,1,1,1.0,1.0,1.0,1.0
Germany,People,HR Advisor,Male,2025-11-01 00:00:00,9,8,4,1,1,0.8889,0.4444,0.1111,0.1111
UK,People,HR Business Partner,Male,2026-03-01 00:00:00,24,16,10,6,5,0.6667,0.4167,0.25,0.2083
UK,Operations,Site Engineer,Male,2025-05-01 00:00:00,18,16,12,6,5,0.8889,0.6667,0.3333,0.2778
UK,Supply Chain,Logistics Coordinator,Male,2025-05-01 00:00:00,19,17,11,4,4,0.8947,0.5789,0.2105,0.2105
UK,Commercial,Pricing Manager,Male,2025-06-01 00:00:00,24,22,9,4,4,0.9167,0.375,0.1667,0.1667
Germany,Sales,Account Manager,Male,2026-02-01 00:00:00,7,7,5,2,2,1.0,0.7143,0.2857,0.2857
Germany,Commercial,Pricing Manager,Male,2025-04-01 00:00:00,3,2,1,0,0,0.6667,0.3333,0.0,0.0
Netherlands,Commercial,Commercial Analyst,Female,2025-12-01 00:00:00,1,1,1,1,1,1.0,1.0,1.0,1.0
UK,Finance,Financial Analyst,Male,2026-03-01 00:00:00,21,13,9,2,2,0.619,0.4286,0.0952,0.0952
France,Commercial,Commercial Analyst,Male,2026-02-01 00:00:00,6,4,3,3,3,0.6667,0.5,0.5,0.5
UK,Supply Chain,Logistics Coordinator,Male,2026-01-01 00:00:00,19,13,9,5,5,0.6842,0.4737,0.2632,0.2632
France,Supply Chain,Logistics Coordinator,Male,2025-06-01 00:00:00,4,4,2,0,0,1.0,0.5,0.0,0.0
Germany,Technology,Data Engineer,Male,2025-07-01 00:00:00,3,3,1,1,1,1.0,0.3333,0.3333,0.3333
Germany,Operations,Project Manager,Female,2025-09-01 00:00:00,2,1,0,0,0,0.5,0.0,0.0,0.0
UK,Operations,Site Engineer,Female,2025-12-01 00:00:00,3,2,0,0,0,0.6667,0.0,0.0,0.0
UK,Technology,Software Engineer,Male,2025-04-01 00:00:00,15,12,6,3,2,0.8,0.4,0.2,0.1333
Germany,Customer Support,Customer Support Rep,Male,2025-06-01 00:00:00,10,8,5,3,3,0.8,0.5,0.3,0.3
France,Sales,Sales Executive,Female,2025-07-01 00:00:00,2,1,1,1,1,0.5,0.5,0.5,0.5
UK,Supply Chain,Logistics Coordinator,Male,2025-08-01 00:00:00,10,8,5,1,1,0.8,0.5,0.1,0.1
UK,Supply Chain,Procurement Specialist,Male,2025-06-01 00:00:00,4,2,0,0,0,0.5,0.0,0.0,0.0
Netherlands,Technology,Software Engineer,Male,2026-02-01 00:00:00,2,1,1,0,0,0.5,0.5,0.0,0.0
UK,Customer Support,Customer Success Manager,Male,2025-06-01 00:00:00,21,15,11,4,3,0.7143,0.5238,0.1905,0.1429
Germany,Supply Chain,Procurement Specialist,Male,2026-03-01 00:00:00,2,2,1,1,0,1.0,0.5,0.5,0.0
UK,People,HR Advisor,Male,2025-12-01 00:00:00,24,20,12,8,5,0.8333,0.5,0.3333,0.2083
UK,Operations,Construction Supervisor,Female,2025-11-01 00:00:00,2,2,2,1,1,1.0,1.0,0.5,0.5
Germany,Commercial,Commercial Analyst,Male,2026-03-01 00:00:00,13,11,4,1,1,0.8462,0.3077,0.0769,0.0769
UK,Operations,Project Manager,Male,2025-06-01 00:00:00,13,12,7,3,3,0.9231,0.5385,0.2308,0.2308
France,Commercial,Pricing Manager,Male,2025-12-01 00:00:00,4,3,2,0,0,0.75,0.5,0.0,0.0
UK,Operations,Site Engineer,Male,2026-01-01 00:00:00,14,8,4,2,2,0.5714,0.2857,0.1429,0.1429
UK,Operations,Site Engineer,Male,2025-08-01 00:00:00,12,8,2,1,0,0.6667,0.1667,0.0833,0.0
Germany,Finance,Financial Analyst,Male,2026-02-01 00:00:00,8,5,3,1,1,0.625,0.375,0.125,0.125
UK,Customer Support,Customer Support Rep,Male,2025-09-01 00:00:00,11,9,8,3,2,0.8182,0.7273,0.2727,0.1818
UK,Finance,Accountant,Male,2025-06-01 00:00:00,17,14,10,7,7,0.8235,0.5882,0.4118,0.4118
Germany,People,HR Business Partner,Male,2025-12-01 00:00:00,10,8,3,1,1,0.8,0.3,0.1,0.1
France,Technology,Data Engineer,Male,2025-07-01 00:00:00,3,3,2,0,0,1.0,0.6667,0.0,0.0
Ireland,Sales,Account Manager,Male,2025-04-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
France,People,HR Business Partner,Male,2026-03-01 00:00:00,6,6,4,3,3,1.0,0.6667,0.5,0.5
UK,Operations,Construction Supervisor,Male,2025-04-01 00:00:00,12,7,5,0,0,0.5833,0.4167,0.0,0.0
France,Technology,Software Engineer,Male,2025-12-01 00:00:00,4,1,0,0,0,0.25,0.0,0.0,0.0
Netherlands,Supply Chain,Procurement Specialist,Male,2025-11-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
France,Finance,Financial Analyst,Male,2026-03-01 00:00:00,3,2,2,0,0,0.6667,0.6667,0.0,0.0
Germany,Commercial,Pricing Manager,Female,2025-10-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Ireland,Customer Support,Customer Success Manager,Male,2026-03-01 00:00:00,2,2,1,0,0,1.0,0.5,0.0,0.0
Ireland,Commercial,Pricing Manager,Male,2025-08-01 00:00:00,2,2,2,1,0,1.0,1.0,0.5,0.0
France,Finance,Accountant,Male,2025-04-01 00:00:00,5,3,1,1,1,0.6,0.2,0.2,0.2
France,Sales,Account Manager,Male,2026-02-01 00:00:00,3,2,2,1,1,0.6667,0.6667,0.3333,0.3333
Germany,Supply Chain,Warehouse Manager,Male,2026-02-01 00:00:00,3,2,2,0,0,0.6667,0.6667,0.0,0.0
Germany,Operations,Project Manager,Male,2025-10-01 00:00:00,3,3,1,1,1,1.0,0.3333,0.3333,0.3333
Germany,Technology,Software Engineer,Male,2026-03-01 00:00:00,5,2,1,0,0,0.4,0.2,0.0,0.0
Ireland,Operations,Site Engineer,Female,2026-01-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
France,Customer Support,Customer Support Rep,Male,2025-12-01 00:00:00,4,4,2,0,0,1.0,0.5,0.0,0.0
Netherlands,Supply Chain,Logistics Coordinator,Male,2026-03-01 00:00:00,6,6,4,2,0,1.0,0.6667,0.3333,0.0
Ireland,Sales,Account Manager,Female,2025-06-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Netherlands,Operations,Construction Supervisor,Male,2026-01-01 00:00:00,1,0,0,0,0,0.0,0.0,0.0,0.0
France,People,HR Advisor,Male,2025-06-01 00:00:00,3,3,2,0,0,1.0,0.6667,0.0,0.0
Ireland,Operations,Site Engineer,Male,2025-12-01 00:00:00,1,1,1,1,0,1.0,1.0,1.0,0.0
Germany,Customer Support,Customer Success Manager,Male,2025-06-01 00:00:00,4,3,2,1,1,0.75,0.5,0.25,0.25
UK,Finance,Accountant,Female,2026-01-01 00:00:00,2,2,2,2,2,1.0,1.0,1.0,1.0
France,Operations,Project Manager,Male,2025-07-01 00:00:00,3,1,1,0,0,0.3333,0.3333,0.0,0.0
France,Sales,Account Manager,Female,2025-05-01 00:00:00,2,1,1,1,1,0.5,0.5,0.5,0.5
Germany,Technology,Data Analyst,Female,2026-03-01 00:00:00,1,1,0,0,0,1.0,0.0,0.0,0.0
Ireland,Sales,Sales Executive,Male,2025-07-01 00:00:00,4,1,1,1,1,0.25,0.25,0.25,0.25
