learning_record_id,employee_id,course_id,course_name,mandatory_flag,assignment_date,due_date,completion_date,completion_status,days_to_complete,overdue_flag,department,country
LRN0000028,EMP00013,C003,Data Protection,1,2025-06-25,2025-08-09,2025-07-05,Completed,10.0,0,Technology,France
LRN0000029,EMP00014,C003,Data Protection,1,2025-02-22,2025-04-05,2025-04-08,Completed,45.0,0,Operations,UK
LRN0000030,EMP00014,C004,Leadership Essentials,0,2025-10-03,2026-01-06,,Incomplete,,1,Operations,UK
LRN0000031,EMP00015,C004,Leadership Essentials,0,2025-11-30,2026-02-09,2025-12-13,Completed,13.0,0,Supply Chain,UK
LRN0000032,EMP00016,C002,Health and Safety,1,2025-12-07,2026-01-17,2026-01-06,Completed,30.0,0,Supply Chain,UK
LRN0000033,EMP00016,C004,Leadership Essentials,0,2026-03-06,2026-06-07,,Incomplete,,0,Supply Chain,UK
LRN0000034,EMP00017,C003,Data Protection,1,2025-10-31,2025-12-20,2025-12-17,Completed,47.0,0,Operations,UK
LRN0000035,EMP00018,C002,Health and Safety,1,2025-07-13,2025-08-22,,Incomplete,,1,Operations,Netherlands
LRN0000036,EMP00018,C006,Advanced Analytics,0,2025-03-31,2025-07-04,,Incomplete,,1,Operations,Netherlands
LRN0000037,EMP00018,C005,Stakeholder Management,0,2025-01-20,2025-04-17,,Incomplete,,1,Operations,Netherlands
LRN0000038,EMP00019,C001,Code of Conduct,1,2026-02-17,2026-03-17,2026-03-09,Completed,20.0,0,Customer Support,UK
LRN0000039,EMP00019,C004,Leadership Essentials,0,2025-07-11,2025-10-11,2025-07-24,Completed,13.0,0,Customer Support,UK
LRN0000040,EMP00019,C005,Stakeholder Management,0,2026-01-01,2026-03-22,2026-01-27,Completed,26.0,0,Customer Support,UK
LRN0000041,EMP00020,C004,Leadership Essentials,0,2025-12-19,2026-03-09,2026-01-06,Completed,18.0,0,Customer Support,UK
LRN0000042,EMP00020,C006,Advanced Analytics,0,2025-04-18,2025-07-20,2025-05-28,Completed,40.0,0,Customer Support,UK
LRN0000043,EMP00021,C002,Health and Safety,1,2025-06-13,2025-07-10,2025-06-23,Completed,10.0,0,Customer Support,UK
LRN0000044,EMP00021,C004,Leadership Essentials,0,2025-07-07,2025-10-10,,Incomplete,,1,Customer Support,UK
LRN0000045,EMP00021,C006,Advanced Analytics,0,2025-02-19,2025-05-08,,Incomplete,,1,Customer Support,UK
LRN0000046,EMP00021,C005,Stakeholder Management,0,2025-06-18,2025-09-16,,Incomplete,,1,Customer Support,UK
LRN0000047,EMP00022,C006,Advanced Analytics,0,2025-10-30,2026-01-18,,Incomplete,,1,Operations,UK
LRN0000048,EMP00022,C005,Stakeholder Management,0,2026-02-16,2026-05-08,2026-03-18,Completed,30.0,0,Operations,UK
LRN0000049,EMP00022,C004,Leadership Essentials,0,2025-04-12,2025-07-03,2025-06-07,Completed,56.0,0,Operations,UK
LRN0000050,EMP00022,C001,Code of Conduct,1,2026-01-07,2026-02-26,2026-01-29,Completed,22.0,0,Operations,UK
LRN0000051,EMP00023,C002,Health and Safety,1,2025-05-06,2025-06-22,2025-05-31,Completed,25.0,0,Operations,Netherlands
LRN0000052,EMP00023,C004,Leadership Essentials,0,2026-02-03,2026-05-08,,Incomplete,,0,Operations,Netherlands
LRN0000053,EMP00023,C006,Advanced Analytics,0,2025-04-25,2025-07-24,,Incomplete,,1,Operations,Netherlands
LRN0000054,EMP00023,C005,Stakeholder Management,0,2025-09-11,2025-12-02,2025-10-11,Completed,30.0,0,Operations,Netherlands
LRN0000055,EMP00024,C002,Health and Safety,1,2025-03-06,2025-04-22,2025-03-14,Completed,8.0,0,Customer Support,France
LRN0000056,EMP00024,C005,Stakeholder Management,0,2025-03-03,2025-05-17,,Incomplete,,1,Customer Support,France
LRN0000057,EMP00025,C002,Health and Safety,1,2025-07-31,2025-09-14,2025-08-30,Completed,30.0,0,Customer Support,France
LRN0000058,EMP00025,C004,Leadership Essentials,0,2026-01-20,2026-04-03,2026-01-26,Completed,6.0,0,Customer Support,France
LRN0000059,EMP00025,C006,Advanced Analytics,0,2025-01-29,2025-04-28,2025-02-15,Completed,17.0,0,Customer Support,France
LRN0000060,EMP00026,C002,Health and Safety,1,2025-05-12,2025-07-01,2025-06-28,Completed,47.0,0,Operations,UK
LRN0000061,EMP00026,C004,Leadership Essentials,0,2025-04-21,2025-07-07,2025-05-01,Completed,10.0,0,Operations,UK
LRN0000062,EMP00026,C006,Advanced Analytics,0,2025-12-23,2026-03-22,2026-01-27,Completed,35.0,0,Operations,UK
LRN0000063,EMP00026,C005,Stakeholder Management,0,2025-07-17,2025-10-11,,Incomplete,,1,Operations,UK
LRN0000064,EMP00027,C003,Data Protection,1,2025-10-27,2025-12-05,2025-12-04,Completed,38.0,0,Supply Chain,UK
LRN0000065,EMP00027,C005,Stakeholder Management,0,2026-02-20,2026-05-24,2026-03-27,Completed,35.0,0,Supply Chain,UK
LRN0000066,EMP00028,C002,Health and Safety,1,2025-11-21,2025-12-23,2025-12-14,Completed,23.0,0,Operations,UK
LRN0000067,EMP00028,C004,Leadership Essentials,0,2025-05-18,2025-08-20,2025-07-07,Completed,50.0,0,Operations,UK
LRN0000068,EMP00028,C005,Stakeholder Management,0,2026-02-17,2026-05-18,2026-03-31,Completed,42.0,0,Operations,UK
LRN0000069,EMP00029,C001,Code of Conduct,1,2025-07-28,2025-09-15,2025-08-25,Completed,28.0,0,Operations,Germany
LRN0000070,EMP00029,C005,Stakeholder Management,0,2025-07-20,2025-09-28,,Incomplete,,1,Operations,Germany
LRN0000071,EMP00029,C004,Leadership Essentials,0,2025-07-10,2025-10-13,,Incomplete,,1,Operations,Germany
LRN0000072,EMP00030,C003,Data Protection,1,2025-06-01,2025-07-04,,Incomplete,,1,Operations,Germany
LRN0000073,EMP00030,C005,Stakeholder Management,0,2025-07-17,2025-10-10,,Incomplete,,1,Operations,Germany
LRN0000074,EMP00030,C004,Leadership Essentials,0,2025-06-18,2025-08-31,2025-08-11,Completed,54.0,0,Operations,Germany
LRN0000075,EMP00031,C003,Data Protection,1,2025-10-20,2025-11-14,2025-11-05,Completed,16.0,0,Commercial,UK
LRN0000076,EMP00031,C006,Advanced Analytics,0,2025-06-17,2025-09-11,,Incomplete,,1,Commercial,UK
LRN0000077,EMP00032,C002,Health and Safety,1,2025-06-17,2025-07-31,,Incomplete,,1,Operations,UK
LRN0000078,EMP00033,C003,Data Protection,1,2026-03-10,2026-04-07,2026-03-25,Completed,15.0,0,Technology,UK
LRN0000079,EMP00033,C004,Leadership Essentials,0,2025-08-28,2025-11-10,,Incomplete,,1,Technology,UK
LRN0000080,EMP00033,C005,Stakeholder Management,0,2025-11-08,2026-02-01,2025-12-03,Completed,25.0,0,Technology,UK
LRN0000081,EMP00033,C006,Advanced Analytics,0,2026-01-08,2026-03-25,,Incomplete,,1,Technology,UK
LRN0000082,EMP00034,C002,Health and Safety,1,2025-01-28,2025-03-05,,Incomplete,,1,Operations,Germany
LRN0000083,EMP00034,C004,Leadership Essentials,0,2025-07-08,2025-10-09,,Incomplete,,1,Operations,Germany
LRN0000084,EMP00035,C004,Leadership Essentials,0,2025-05-15,2025-08-13,2025-05-21,Completed,6.0,0,People,Germany
LRN0000085,EMP00035,C006,Advanced Analytics,0,2026-01-24,2026-04-26,2026-01-28,Completed,4.0,0,People,Germany
LRN0000086,EMP00035,C005,Stakeholder Management,0,2025-03-01,2025-05-20,,Incomplete,,1,People,Germany
LRN0000087,EMP00036,C003,Data Protection,1,2025-05-19,2025-07-06,,Incomplete,,1,Supply Chain,Germany
LRN0000088,EMP00037,C001,Code of Conduct,1,2025-03-30,2025-05-03,,Incomplete,,1,Operations,UK
LRN0000089,EMP00038,C002,Health and Safety,1,2025-09-27,2025-11-11,2025-10-16,Completed,19.0,0,Customer Support,UK
LRN0000090,EMP00038,C006,Advanced Analytics,0,2025-01-06,2025-03-24,,Incomplete,,1,Customer Support,UK
LRN0000091,EMP00038,C005,Stakeholder Management,0,2025-01-02,2025-04-06,2025-01-16,Completed,14.0,0,Customer Support,UK
LRN0000092,EMP00038,C004,Leadership Essentials,0,2026-02-21,2026-05-27,2026-02-27,Completed,6.0,0,Customer Support,UK
LRN0000093,EMP00039,C002,Health and Safety,1,2025-11-30,2026-01-05,2025-12-26,Completed,26.0,0,Customer Support,UK
LRN0000094,EMP00040,C004,Leadership Essentials,0,2026-01-27,2026-04-29,,Incomplete,,0,Sales,Ireland
LRN0000095,EMP00040,C005,Stakeholder Management,0,2025-01-13,2025-04-02,2025-01-23,Completed,10.0,0,Sales,Ireland
LRN0000096,EMP00041,C001,Code of Conduct,1,2025-09-14,2025-10-19,2025-10-23,Completed,39.0,0,Supply Chain,UK
LRN0000097,EMP00042,C003,Data Protection,1,2025-05-31,2025-07-16,2025-07-23,Completed,53.0,0,Operations,Ireland
LRN0000098,EMP00042,C004,Leadership Essentials,0,2025-05-01,2025-07-28,,Incomplete,,1,Operations,Ireland
LRN0000099,EMP00043,C003,Data Protection,1,2025-12-28,2026-01-24,2026-01-10,Completed,13.0,0,Operations,UK
LRN0000100,EMP00043,C006,Advanced Analytics,0,2026-01-16,2026-04-09,,Incomplete,,0,Operations,UK
LRN0000101,EMP00044,C003,Data Protection,1,2025-12-30,2026-02-12,2026-01-25,Completed,26.0,0,Operations,UK
LRN0000102,EMP00044,C004,Leadership Essentials,0,2025-03-30,2025-06-24,2025-04-18,Completed,19.0,0,Operations,UK
LRN0000103,EMP00045,C002,Health and Safety,1,2026-03-02,2026-04-04,,Incomplete,,0,Customer Support,France
LRN0000104,EMP00045,C004,Leadership Essentials,0,2025-04-17,2025-07-08,,Incomplete,,1,Customer Support,France
LRN0000105,EMP00046,C002,Health and Safety,1,2025-07-13,2025-08-14,,Incomplete,,1,Operations,Germany
LRN0000106,EMP00046,C004,Leadership Essentials,0,2025-10-17,2025-12-28,,Incomplete,,1,Operations,Germany
LRN0000107,EMP00047,C005,Stakeholder Management,0,2025-07-30,2025-10-27,2025-08-11,Completed,12.0,0,People,UK
LRN0000108,EMP00047,C006,Advanced Analytics,0,2025-07-08,2025-09-16,2025-07-24,Completed,16.0,0,People,UK
LRN0000109,EMP00047,C004,Leadership Essentials,0,2025-05-11,2025-07-30,2025-05-15,Completed,4.0,0,People,UK
LRN0000110,EMP00048,C003,Data Protection,1,2025-09-23,2025-11-08,2025-11-08,Completed,46.0,0,Operations,France
LRN0000111,EMP00049,C001,Code of Conduct,1,2025-05-17,2025-06-23,,Incomplete,,1,Operations,UK
LRN0000112,EMP00049,C005,Stakeholder Management,0,2025-06-17,2025-09-01,2025-08-15,Completed,59.0,0,Operations,UK
LRN0000113,EMP00049,C006,Advanced Analytics,0,2025-09-29,2025-12-12,2025-11-02,Completed,34.0,0,Operations,UK
LRN0000114,EMP00050,C001,Code of Conduct,1,2025-08-03,2025-09-16,2025-08-24,Completed,21.0,0,Customer Support,Germany
LRN0000115,EMP00050,C006,Advanced Analytics,0,2025-06-06,2025-09-04,,Incomplete,,1,Customer Support,Germany
LRN0000116,EMP00051,C001,Code of Conduct,1,2025-07-10,2025-08-04,2025-07-23,Completed,13.0,0,Technology,Germany
LRN0000117,EMP00051,C004,Leadership Essentials,0,2025-11-25,2026-02-20,2025-12-03,Completed,8.0,0,Technology,Germany
LRN0000118,EMP00051,C005,Stakeholder Management,0,2026-03-02,2026-05-17,,Incomplete,,0,Technology,Germany
LRN0000119,EMP00052,C001,Code of Conduct,1,2025-07-20,2025-08-23,2025-08-08,Completed,19.0,0,Commercial,Germany
LRN0000120,EMP00052,C004,Leadership Essentials,0,2026-02-13,2026-05-19,2026-02-24,Completed,11.0,0,Commercial,Germany
LRN0000121,EMP00053,C003,Data Protection,1,2025-02-26,2025-04-05,2025-04-04,Completed,37.0,0,Operations,Netherlands
LRN0000122,EMP00054,C002,Health and Safety,1,2025-01-03,2025-01-30,2025-02-11,Completed,39.0,0,Supply Chain,UK
LRN0000123,EMP00054,C006,Advanced Analytics,0,2025-08-06,2025-11-05,,Incomplete,,1,Supply Chain,UK
LRN0000124,EMP00055,C003,Data Protection,1,2025-01-08,2025-02-11,,Incomplete,,1,Customer Support,UK
LRN0000125,EMP00055,C004,Leadership Essentials,0,2025-04-25,2025-07-23,,Incomplete,,1,Customer Support,UK
LRN0000126,EMP00055,C005,Stakeholder Management,0,2025-09-10,2025-12-04,2025-09-18,Completed,8.0,0,Customer Support,UK
LRN0000127,EMP00056,C003,Data Protection,1,2026-03-19,2026-05-02,,Incomplete,,0,Operations,France
LRN0000128,EMP00056,C005,Stakeholder Management,0,2025-10-11,2026-01-12,,Incomplete,,1,Operations,France
LRN0000129,EMP00056,C006,Advanced Analytics,0,2025-10-30,2026-01-24,2025-11-22,Completed,23.0,0,Operations,France
LRN0000130,EMP00057,C001,Code of Conduct,1,2025-09-04,2025-10-24,2025-09-15,Completed,11.0,0,Sales,UK
LRN0000131,EMP00057,C004,Leadership Essentials,0,2025-10-16,2026-01-10,2025-10-29,Completed,13.0,0,Sales,UK
LRN0000132,EMP00057,C006,Advanced Analytics,0,2025-08-23,2025-11-16,2025-09-10,Completed,18.0,0,Sales,UK
LRN0000133,EMP00058,C003,Data Protection,1,2025-08-31,2025-10-15,2025-09-16,Completed,16.0,0,Operations,UK
LRN0000134,EMP00058,C004,Leadership Essentials,0,2025-04-04,2025-06-19,,Incomplete,,1,Operations,UK
LRN0000135,EMP00058,C006,Advanced Analytics,0,2025-10-12,2026-01-07,2025-11-18,Completed,37.0,0,Operations,UK
LRN0000136,EMP00059,C002,Health and Safety,1,2026-03-05,2026-04-24,,Incomplete,,0,Customer Support,UK
LRN0000137,EMP00059,C006,Advanced Analytics,0,2025-06-01,2025-08-28,2025-06-13,Completed,12.0,0,Customer Support,UK
LRN0000138,EMP00060,C005,Stakeholder Management,0,2026-01-19,2026-04-19,,Incomplete,,0,Finance,France
LRN0000139,EMP00061,C003,Data Protection,1,2025-11-23,2025-12-28,2025-12-03,Completed,10.0,0,Customer Support,Germany
LRN0000140,EMP00061,C006,Advanced Analytics,0,2025-11-30,2026-02-24,,Incomplete,,1,Customer Support,Germany
LRN0000141,EMP00062,C002,Health and Safety,1,2025-12-12,2026-01-09,2025-12-17,Completed,5.0,0,Technology,Germany
LRN0000142,EMP00062,C004,Leadership Essentials,0,2026-03-30,2026-06-09,2026-03-31,Completed,1.0,0,Technology,Germany
LRN0000143,EMP00063,C003,Data Protection,1,2025-02-22,2025-04-08,2025-03-25,Completed,31.0,0,Operations,UK
LRN0000144,EMP00063,C005,Stakeholder Management,0,2026-01-14,2026-04-07,2026-02-03,Completed,20.0,0,Operations,UK
LRN0000145,EMP00063,C004,Leadership Essentials,0,2025-10-07,2025-12-18,,Incomplete,,1,Operations,UK
LRN0000146,EMP00063,C006,Advanced Analytics,0,2025-05-05,2025-07-17,,Incomplete,,1,Operations,UK
LRN0000147,EMP00064,C004,Leadership Essentials,0,2025-07-27,2025-10-13,2025-08-01,Completed,5.0,0,Finance,Netherlands
LRN0000148,EMP00064,C006,Advanced Analytics,0,2025-12-31,2026-03-12,2026-01-03,Completed,3.0,0,Finance,Netherlands
LRN0000149,EMP00064,C005,Stakeholder Management,0,2025-04-18,2025-07-20,2025-04-27,Completed,9.0,0,Finance,Netherlands
LRN0000150,EMP00065,C005,Stakeholder Management,0,2025-12-29,2026-03-22,2026-01-15,Completed,17.0,0,Finance,UK
LRN0000151,EMP00065,C004,Leadership Essentials,0,2025-08-04,2025-10-28,2025-08-10,Completed,6.0,0,Finance,UK
LRN0000152,EMP00066,C002,Health and Safety,1,2025-02-13,2025-03-15,2025-03-23,Completed,38.0,0,Supply Chain,UK
LRN0000153,EMP00066,C004,Leadership Essentials,0,2025-03-02,2025-06-03,2025-03-17,Completed,15.0,0,Supply Chain,UK
LRN0000154,EMP00067,C006,Advanced Analytics,0,2025-05-24,2025-08-27,,Incomplete,,1,Finance,Germany
LRN0000155,EMP00067,C004,Leadership Essentials,0,2025-02-19,2025-05-23,,Incomplete,,1,Finance,Germany
LRN0000156,EMP00068,C001,Code of Conduct,1,2025-09-17,2025-10-17,2025-09-27,Completed,10.0,0,Technology,UK
LRN0000157,EMP00068,C004,Leadership Essentials,0,2025-05-19,2025-08-20,,Incomplete,,1,Technology,UK
LRN0000158,EMP00068,C006,Advanced Analytics,0,2026-03-21,2026-06-15,2026-03-25,Completed,4.0,0,Technology,UK
LRN0000159,EMP00069,C001,Code of Conduct,1,2026-01-17,2026-02-17,2026-02-08,Completed,22.0,0,Operations,UK
LRN0000160,EMP00069,C006,Advanced Analytics,0,2025-10-30,2026-01-16,,Incomplete,,1,Operations,UK
LRN0000161,EMP00070,C002,Health and Safety,1,2025-06-28,2025-08-01,2025-08-01,Completed,34.0,0,Operations,Germany
LRN0000162,EMP00070,C004,Leadership Essentials,0,2025-12-13,2026-03-09,,Incomplete,,1,Operations,Germany
LRN0000163,EMP00070,C006,Advanced Analytics,0,2025-03-15,2025-06-04,,Incomplete,,1,Operations,Germany
LRN0000164,EMP00071,C005,Stakeholder Management,0,2026-01-21,2026-04-23,,Incomplete,,0,Customer Support,UK
LRN0000165,EMP00071,C004,Leadership Essentials,0,2025-01-08,2025-03-19,2025-02-06,Completed,29.0,0,Customer Support,UK
LRN0000166,EMP00072,C003,Data Protection,1,2026-01-03,2026-02-05,2026-01-11,Completed,8.0,0,Operations,Netherlands
LRN0000167,EMP00072,C005,Stakeholder Management,0,2025-03-03,2025-06-04,,Incomplete,,1,Operations,Netherlands
LRN0000168,EMP00073,C003,Data Protection,1,2025-11-21,2026-01-04,,Incomplete,,1,Finance,Germany
LRN0000169,EMP00074,C002,Health and Safety,1,2025-06-06,2025-07-12,2025-06-19,Completed,13.0,0,Sales,UK
LRN0000170,EMP00074,C005,Stakeholder Management,0,2025-12-12,2026-02-23,2026-01-03,Completed,22.0,0,Sales,UK
LRN0000171,EMP00074,C006,Advanced Analytics,0,2025-03-24,2025-06-10,,Incomplete,,1,Sales,UK
LRN0000172,EMP00075,C003,Data Protection,1,2025-02-27,2025-04-01,,Incomplete,,1,Operations,UK
LRN0000173,EMP00076,C003,Data Protection,1,2025-06-27,2025-07-27,2025-07-10,Completed,13.0,0,Technology,Germany
LRN0000174,EMP00076,C006,Advanced Analytics,0,2025-07-11,2025-10-09,2025-08-11,Completed,31.0,0,Technology,Germany
LRN0000175,EMP00076,C004,Leadership Essentials,0,2025-11-12,2026-01-22,2025-12-04,Completed,22.0,0,Technology,Germany
LRN0000176,EMP00077,C001,Code of Conduct,1,2025-02-14,2025-03-12,,Incomplete,,1,Operations,UK
LRN0000177,EMP00077,C005,Stakeholder Management,0,2026-03-21,2026-06-11,,Incomplete,,0,Operations,UK
LRN0000178,EMP00078,C001,Code of Conduct,1,2026-02-10,2026-03-15,2026-02-20,Completed,10.0,0,Customer Support,France
LRN0000179,EMP00079,C002,Health and Safety,1,2025-09-05,2025-10-24,2025-10-05,Completed,30.0,0,Operations,UK
LRN0000180,EMP00079,C004,Leadership Essentials,0,2025-08-03,2025-11-05,2025-08-20,Completed,17.0,0,Operations,UK
LRN0000181,EMP00080,C002,Health and Safety,1,2025-05-10,2025-06-06,,Incomplete,,1,Supply Chain,Ireland
LRN0000182,EMP00081,C003,Data Protection,1,2025-02-17,2025-03-31,,Incomplete,,1,Supply Chain,France
LRN0000183,EMP00081,C004,Leadership Essentials,0,2025-05-09,2025-08-10,2025-05-18,Completed,9.0,0,Supply Chain,France
LRN0000184,EMP00081,C005,Stakeholder Management,0,2025-11-05,2026-01-21,2025-11-17,Completed,12.0,0,Supply Chain,France
LRN0000185,EMP00081,C006,Advanced Analytics,0,2025-12-15,2026-03-17,2026-01-20,Completed,36.0,0,Supply Chain,France
LRN0000186,EMP00082,C002,Health and Safety,1,2025-11-08,2025-12-12,2025-11-27,Completed,19.0,0,Technology,Germany
LRN0000187,EMP00082,C004,Leadership Essentials,0,2025-01-05,2025-04-04,2025-01-24,Completed,19.0,0,Technology,Germany
LRN0000188,EMP00082,C005,Stakeholder Management,0,2025-12-28,2026-03-16,,Incomplete,,1,Technology,Germany
LRN0000189,EMP00083,C002,Health and Safety,1,2025-08-16,2025-09-12,,Incomplete,,1,Sales,UK
LRN0000190,EMP00083,C005,Stakeholder Management,0,2025-07-30,2025-10-19,2025-08-18,Completed,19.0,0,Sales,UK
LRN0000191,EMP00084,C004,Leadership Essentials,0,2025-06-03,2025-08-14,2025-07-07,Completed,34.0,0,Operations,UK
LRN0000192,EMP00084,C005,Stakeholder Management,0,2026-02-03,2026-04-26,2026-03-31,Completed,56.0,0,Operations,UK
LRN0000193,EMP00085,C002,Health and Safety,1,2025-01-21,2025-03-05,2025-02-12,Completed,22.0,0,Operations,UK
LRN0000194,EMP00085,C004,Leadership Essentials,0,2025-05-18,2025-08-14,2025-06-19,Completed,32.0,0,Operations,UK
LRN0000195,EMP00085,C005,Stakeholder Management,0,2025-04-21,2025-07-06,,Incomplete,,1,Operations,UK
LRN0000196,EMP00086,C003,Data Protection,1,2025-02-05,2025-03-15,2025-03-09,Completed,32.0,0,Operations,UK
LRN0000197,EMP00086,C005,Stakeholder Management,0,2025-09-01,2025-12-03,2025-10-22,Completed,51.0,0,Operations,UK
LRN0000198,EMP00086,C004,Leadership Essentials,0,2025-04-02,2025-06-18,2025-04-12,Completed,10.0,0,Operations,UK
LRN0000199,EMP00087,C006,Advanced Analytics,0,2025-01-25,2025-04-10,2025-02-22,Completed,28.0,0,Operations,UK
LRN0000200,EMP00087,C005,Stakeholder Management,0,2025-08-27,2025-11-05,,Incomplete,,1,Operations,UK
LRN0000201,EMP00087,C004,Leadership Essentials,0,2025-04-16,2025-07-03,,Incomplete,,1,Operations,UK
LRN0000202,EMP00088,C004,Leadership Essentials,0,2025-12-17,2026-03-19,2026-01-17,Completed,31.0,0,Supply Chain,France
LRN0000203,EMP00088,C006,Advanced Analytics,0,2025-02-25,2025-05-09,2025-03-20,Completed,23.0,0,Supply Chain,France
LRN0000204,EMP00088,C005,Stakeholder Management,0,2025-06-12,2025-09-09,2025-07-29,Completed,47.0,0,Supply Chain,France
LRN0000205,EMP00088,C003,Data Protection,1,2025-04-06,2025-05-19,2025-04-18,Completed,12.0,0,Supply Chain,France
LRN0000206,EMP00089,C001,Code of Conduct,1,2025-05-05,2025-06-05,,Incomplete,,1,Customer Support,Germany
LRN0000207,EMP00090,C001,Code of Conduct,1,2025-08-29,2025-09-27,2025-09-16,Completed,18.0,0,Sales,UK
LRN0000208,EMP00090,C005,Stakeholder Management,0,2026-01-06,2026-04-09,,Incomplete,,0,Sales,UK
LRN0000209,EMP00091,C002,Health and Safety,1,2025-04-29,2025-06-10,2025-05-11,Completed,12.0,0,Commercial,Germany
LRN0000210,EMP00092,C004,Leadership Essentials,0,2025-06-02,2025-09-04,2025-07-10,Completed,38.0,0,Customer Support,UK
LRN0000211,EMP00092,C006,Advanced Analytics,0,2025-03-12,2025-05-25,2025-03-26,Completed,14.0,0,Customer Support,UK
LRN0000212,EMP00093,C002,Health and Safety,1,2025-07-31,2025-09-19,2025-09-01,Completed,32.0,0,Operations,UK
LRN0000213,EMP00093,C006,Advanced Analytics,0,2026-01-10,2026-03-24,2026-03-08,Completed,57.0,0,Operations,UK
LRN0000214,EMP00093,C005,Stakeholder Management,0,2026-02-19,2026-05-11,,Incomplete,,0,Operations,UK
LRN0000215,EMP00094,C002,Health and Safety,1,2025-08-19,2025-09-24,2025-09-01,Completed,13.0,0,Sales,UK
LRN0000216,EMP00094,C004,Leadership Essentials,0,2025-03-30,2025-06-13,2025-04-12,Completed,13.0,0,Sales,UK
LRN0000217,EMP00094,C006,Advanced Analytics,0,2026-01-05,2026-04-07,2026-01-30,Completed,25.0,0,Sales,UK
LRN0000218,EMP00095,C002,Health and Safety,1,2025-09-17,2025-10-19,,Incomplete,,1,Operations,Netherlands
LRN0000219,EMP00096,C002,Health and Safety,1,2025-03-18,2025-04-22,2025-03-22,Completed,4.0,0,Technology,UK
LRN0000220,EMP00097,C001,Code of Conduct,1,2025-04-27,2025-05-24,,Incomplete,,1,Operations,Germany
LRN0000221,EMP00097,C005,Stakeholder Management,0,2025-08-02,2025-10-23,,Incomplete,,1,Operations,Germany
