candidate_id,application_date,country,department,job_role,gender,current_stage,hired_flag,Applied_date,Screen_date,Interview_date,Offer_date,Hired_date
CAND000024,2025-11-22,UK,Finance,Financial Analyst,Male,Interview,0,2025-11-22,2025-11-23,2025-11-29,,
CAND000025,2026-03-08,UK,Customer Support,Customer Support Rep,Male,Hired,1,2026-03-08,2026-03-12,2026-03-20,2026-03-30,2026-04-08
CAND000026,2025-07-21,UK,Customer Support,Customer Success Manager,Male,Screen,0,2025-07-21,2025-07-25,,,
CAND000027,2026-03-09,UK,People,HR Advisor,Male,Hired,1,2026-03-09,2026-03-10,2026-03-18,2026-03-26,2026-04-02
CAND000028,2025-10-13,UK,Supply Chain,Procurement Specialist,Female,Interview,0,2025-10-13,2025-10-17,2025-10-25,,
CAND000029,2025-04-28,UK,Supply Chain,Warehouse Manager,Male,Applied,0,2025-04-28,,,,
CAND000030,2025-12-23,UK,Commercial,Commercial Analyst,Female,Hired,1,2025-12-23,2025-12-26,2026-01-03,2026-01-15,2026-01-18
CAND000031,2026-03-10,Netherlands,Commercial,Commercial Analyst,Male,Screen,0,2026-03-10,2026-03-11,,,
CAND000032,2025-08-12,UK,Supply Chain,Procurement Specialist,Male,Screen,0,2025-08-12,2025-08-15,,,
CAND000033,2025-04-13,Germany,Technology,Data Analyst,Male,Interview,0,2025-04-13,2025-04-16,2025-04-21,,
CAND000034,2025-08-19,Ireland,Sales,Account Manager,Male,Interview,0,2025-08-19,2025-08-22,2025-08-25,,
CAND000035,2025-06-12,Ireland,People,HR Advisor,Male,Screen,0,2025-06-12,2025-06-14,,,
CAND000036,2025-09-15,UK,People,HR Business Partner,Male,Applied,0,2025-09-15,,,,
CAND000037,2025-09-29,UK,Commercial,Pricing Manager,Male,Screen,0,2025-09-29,2025-09-30,,,
CAND000038,2025-07-29,France,Operations,Site Engineer,Male,Applied,0,2025-07-29,,,,
CAND000039,2025-05-31,UK,Sales,Sales Executive,Male,Screen,0,2025-05-31,2025-06-01,,,
CAND000040,2025-09-01,UK,Commercial,Commercial Analyst,Male,Hired,1,2025-09-01,2025-09-02,2025-09-08,2025-09-22,2025-09-27
CAND000041,2025-04-20,Ireland,Commercial,Pricing Manager,Male,Screen,0,2025-04-20,2025-04-24,,,
CAND000042,2026-02-20,UK,Finance,Financial Analyst,Male,Applied,0,2026-02-20,,,,
CAND000043,2025-06-12,Germany,Operations,Project Manager,Male,Screen,0,2025-06-12,2025-06-15,,,
CAND000044,2025-06-18,UK,Supply Chain,Logistics Coordinator,Male,Screen,0,2025-06-18,2025-06-22,,,
CAND000045,2025-11-15,Germany,Customer Support,Customer Success Manager,Male,Screen,0,2025-11-15,2025-11-18,,,
CAND000046,2025-11-21,Germany,Operations,Project Manager,Male,Interview,0,2025-11-21,2025-11-24,2025-12-02,,
CAND000047,2025-09-24,Netherlands,Technology,Software Engineer,Male,Applied,0,2025-09-24,,,,
CAND000048,2025-06-19,UK,Supply Chain,Warehouse Manager,Male,Offer,0,2025-06-19,2025-06-23,2025-06-29,2025-07-13,
CAND000049,2025-06-20,Germany,Supply Chain,Logistics Coordinator,Male,Screen,0,2025-06-20,2025-06-24,,,
CAND000050,2025-06-12,Netherlands,Operations,Construction Supervisor,Male,Applied,0,2025-06-12,,,,
CAND000051,2025-05-17,France,Commercial,Commercial Analyst,Male,Applied,0,2025-05-17,,,,
CAND000052,2025-06-19,UK,People,HR Advisor,Male,Hired,1,2025-06-19,2025-06-20,2025-06-28,2025-07-06,2025-07-08
CAND000053,2025-09-10,UK,Technology,Data Engineer,Male,Interview,0,2025-09-10,2025-09-13,2025-09-19,,
CAND000054,2025-10-05,France,People,HR Advisor,Male,Offer,0,2025-10-05,2025-10-06,2025-10-11,2025-10-17,
CAND000055,2026-02-22,France,Supply Chain,Warehouse Manager,Male,Screen,0,2026-02-22,2026-02-26,,,
CAND000056,2025-04-16,Netherlands,Supply Chain,Warehouse Manager,Male,Screen,0,2025-04-16,2025-04-17,,,
CAND000057,2025-09-16,UK,Supply Chain,Warehouse Manager,Male,Applied,0,2025-09-16,,,,
CAND000058,2026-01-03,France,Operations,Construction Supervisor,Male,Applied,0,2026-01-03,,,,
CAND000059,2025-10-06,Germany,Commercial,Commercial Analyst,Male,Screen,0,2025-10-06,2025-10-08,,,
CAND000060,2026-03-03,France,Commercial,Pricing Manager,Male,Interview,0,2026-03-03,2026-03-04,2026-03-11,,
CAND000061,2026-03-12,UK,Sales,Sales Executive,Male,Applied,0,2026-03-12,,,,
CAND000062,2025-11-19,Germany,Supply Chain,Procurement Specialist,Male,Hired,1,2025-11-19,2025-11-20,2025-11-27,2025-12-03,2025-12-11
CAND000063,2025-10-31,Netherlands,Commercial,Pricing Manager,Male,Hired,1,2025-10-31,2025-11-04,2025-11-12,2025-11-24,2025-11-26
CAND000064,2025-06-25,UK,Sales,Account Manager,Male,Screen,0,2025-06-25,2025-06-27,,,
CAND000065,2026-03-01,Germany,Sales,Account Manager,Male,Applied,0,2026-03-01,,,,
CAND000066,2026-03-26,France,Supply Chain,Logistics Coordinator,Male,Interview,0,2026-03-26,2026-03-30,2026-04-02,,
CAND000067,2025-04-25,Germany,Supply Chain,Procurement Specialist,Male,Screen,0,2025-04-25,2025-04-26,,,
CAND000068,2025-06-02,UK,Commercial,Commercial Analyst,Male,Interview,0,2025-06-02,2025-06-05,2025-06-10,,
CAND000069,2025-06-19,UK,Operations,Construction Supervisor,Male,Screen,0,2025-06-19,2025-06-20,,,
CAND000070,2026-02-19,Germany,Commercial,Pricing Manager,Male,Interview,0,2026-02-19,2026-02-20,2026-02-26,,
CAND000071,2025-11-03,Germany,Supply Chain,Procurement Specialist,Male,Screen,0,2025-11-03,2025-11-05,,,
CAND000072,2026-03-09,UK,Sales,Account Manager,Male,Hired,1,2026-03-09,2026-03-13,2026-03-20,2026-03-28,2026-04-01
CAND000073,2025-10-17,UK,Sales,Sales Executive,Male,Screen,0,2025-10-17,2025-10-19,,,
CAND000074,2025-09-18,Netherlands,Sales,Sales Executive,Male,Applied,0,2025-09-18,,,,
CAND000075,2025-08-20,Germany,Commercial,Pricing Manager,Male,Hired,1,2025-08-20,2025-08-22,2025-08-27,2025-09-02,2025-09-06
CAND000076,2025-04-05,France,Operations,Site Engineer,Male,Interview,0,2025-04-05,2025-04-09,2025-04-14,,
CAND000077,2025-12-10,Germany,Finance,Financial Analyst,Male,Screen,0,2025-12-10,2025-12-13,,,
CAND000078,2025-07-04,UK,Sales,Account Manager,Male,Offer,0,2025-07-04,2025-07-06,2025-07-14,2025-07-23,
CAND000079,2025-09-17,Germany,People,HR Business Partner,Male,Screen,0,2025-09-17,2025-09-21,,,
CAND000080,2025-05-21,Netherlands,Supply Chain,Warehouse Manager,Male,Interview,0,2025-05-21,2025-05-24,2025-05-31,,
CAND000081,2025-09-14,UK,Customer Support,Customer Success Manager,Male,Interview,0,2025-09-14,2025-09-15,2025-09-23,,
CAND000082,2025-05-30,UK,Customer Support,Customer Success Manager,Male,Screen,0,2025-05-30,2025-05-31,,,
CAND000083,2025-05-09,UK,Finance,Accountant,Male,Screen,0,2025-05-09,2025-05-10,,,
CAND000084,2025-06-05,Netherlands,Customer Support,Customer Success Manager,Male,Hired,1,2025-06-05,2025-06-06,2025-06-12,2025-06-17,2025-06-19
CAND000085,2025-04-21,UK,People,HR Advisor,Male,Applied,0,2025-04-21,,,,
CAND000086,2025-11-04,Germany,Operations,Site Engineer,Male,Interview,0,2025-11-04,2025-11-05,2025-11-09,,
CAND000087,2025-07-30,UK,Commercial,Pricing Manager,Male,Applied,0,2025-07-30,,,,
CAND000088,2025-04-01,UK,Finance,Accountant,Male,Applied,0,2025-04-01,,,,
CAND000089,2025-12-20,Ireland,Finance,Accountant,Male,Hired,1,2025-12-20,2025-12-23,2025-12-31,2026-01-13,2026-01-20
CAND000090,2025-06-12,Netherlands,Commercial,Pricing Manager,Female,Screen,0,2025-06-12,2025-06-13,,,
CAND000091,2025-11-30,UK,Finance,Financial Analyst,Male,Applied,0,2025-11-30,,,,
CAND000092,2025-06-07,UK,People,HR Business Partner,Male,Interview,0,2025-06-07,2025-06-11,2025-06-18,,
CAND000093,2025-05-21,UK,Operations,Construction Supervisor,Male,Interview,0,2025-05-21,2025-05-23,2025-05-27,,
CAND000094,2026-01-11,Germany,Commercial,Pricing Manager,Male,Applied,0,2026-01-11,,,,
CAND000095,2026-02-14,UK,Technology,Data Engineer,Male,Hired,1,2026-02-14,2026-02-15,2026-02-23,2026-03-08,2026-03-16
CAND000096,2026-01-10,Germany,People,HR Advisor,Female,Applied,0,2026-01-10,,,,
CAND000097,2025-10-08,Germany,Customer Support,Customer Support Rep,Male,Applied,0,2025-10-08,,,,
CAND000098,2026-03-13,UK,Commercial,Commercial Analyst,Male,Screen,0,2026-03-13,2026-03-16,,,
CAND000099,2025-08-12,Germany,Commercial,Pricing Manager,Male,Applied,0,2025-08-12,,,,
CAND000100,2025-07-15,Germany,Customer Support,Customer Success Manager,Male,Screen,0,2025-07-15,2025-07-17,,,
CAND000101,2025-09-07,France,Commercial,Commercial Analyst,Male,Screen,0,2025-09-07,2025-09-09,,,
CAND000102,2025-06-20,France,Sales,Account Manager,Male,Screen,0,2025-06-20,2025-06-24,,,
CAND000103,2026-01-12,UK,Sales,Sales Executive,Male,Offer,0,2026-01-12,2026-01-14,2026-01-21,2026-01-31,
CAND000104,2026-03-30,UK,People,HR Advisor,Female,Interview,0,2026-03-30,2026-04-01,2026-04-05,,
CAND000105,2025-07-11,France,People,HR Advisor,Male,Interview,0,2025-07-11,2025-07-14,2025-07-20,,
CAND000106,2025-08-04,UK,Supply Chain,Procurement Specialist,Male,Applied,0,2025-08-04,,,,
CAND000107,2025-10-12,UK,Finance,Accountant,Male,Applied,0,2025-10-12,,,,
CAND000108,2026-03-07,UK,Customer Support,Customer Support Rep,Male,Screen,0,2026-03-07,2026-03-11,,,
CAND000109,2026-02-14,UK,Supply Chain,Procurement Specialist,Male,Screen,0,2026-02-14,2026-02-18,,,
CAND000110,2025-12-10,UK,Supply Chain,Logistics Coordinator,Male,Applied,0,2025-12-10,,,,
CAND000111,2026-01-09,UK,Technology,Data Analyst,Male,Screen,0,2026-01-09,2026-01-12,,,
CAND000112,2025-11-16,Germany,People,HR Advisor,Male,Screen,0,2025-11-16,2025-11-17,,,
CAND000113,2025-06-30,UK,Sales,Account Manager,Male,Screen,0,2025-06-30,2025-07-02,,,
CAND000114,2025-12-10,France,Sales,Account Manager,Male,Applied,0,2025-12-10,,,,
CAND000115,2025-05-15,UK,People,HR Business Partner,Male,Screen,0,2025-05-15,2025-05-16,,,
CAND000116,2025-04-27,UK,Finance,Financial Analyst,Male,Interview,0,2025-04-27,2025-05-01,2025-05-04,,
CAND000117,2025-04-08,Germany,Customer Support,Customer Support Rep,Male,Interview,0,2025-04-08,2025-04-10,2025-04-13,,
CAND000118,2026-03-17,UK,Finance,Accountant,Male,Hired,1,2026-03-17,2026-03-20,2026-03-25,2026-03-31,2026-04-08
CAND000119,2025-08-08,UK,People,HR Advisor,Male,Applied,0,2025-08-08,,,,
CAND000120,2025-07-04,UK,Technology,Data Engineer,Male,Applied,0,2025-07-04,,,,
CAND000121,2025-07-12,UK,Commercial,Pricing Manager,Male,Applied,0,2025-07-12,,,,
CAND000122,2025-05-27,France,Operations,Construction Supervisor,Male,Interview,0,2025-05-27,2025-05-31,2025-06-04,,
CAND000123,2026-01-09,UK,Finance,Financial Analyst,Female,Interview,0,2026-01-09,2026-01-10,2026-01-13,,
CAND000124,2025-08-27,UK,Technology,Data Analyst,Male,Applied,0,2025-08-27,,,,
CAND000125,2025-05-12,Germany,Supply Chain,Procurement Specialist,Male,Screen,0,2025-05-12,2025-05-15,,,
CAND000126,2025-09-06,UK,Sales,Sales Executive,Male,Screen,0,2025-09-06,2025-09-09,,,
CAND000127,2026-01-14,Germany,Technology,Data Engineer,Male,Screen,0,2026-01-14,2026-01-17,,,
CAND000128,2025-05-12,Germany,Finance,Financial Analyst,Male,Screen,0,2025-05-12,2025-05-16,,,
CAND000129,2025-06-23,Germany,Technology,Data Analyst,Male,Applied,0,2025-06-23,,,,
CAND000130,2025-08-29,UK,Supply Chain,Procurement Specialist,Male,Screen,0,2025-08-29,2025-08-30,,,
CAND000131,2025-12-30,France,People,HR Advisor,Male,Hired,1,2025-12-30,2026-01-03,2026-01-07,2026-01-17,2026-01-26
CAND000132,2025-07-19,Germany,Supply Chain,Logistics Coordinator,Male,Screen,0,2025-07-19,2025-07-22,,,
CAND000133,2025-07-07,UK,Operations,Project Manager,Male,Screen,0,2025-07-07,2025-07-09,,,
CAND000134,2025-05-17,France,Customer Support,Customer Support Rep,Male,Interview,0,2025-05-17,2025-05-18,2025-05-24,,
CAND000135,2026-01-01,UK,Customer Support,Customer Success Manager,Male,Hired,1,2026-01-01,2026-01-05,2026-01-12,2026-01-22,2026-01-26
CAND000136,2025-05-17,UK,Technology,Data Analyst,Male,Interview,0,2025-05-17,2025-05-19,2025-05-27,,
CAND000137,2026-03-10,Germany,Finance,Financial Analyst,Female,Hired,1,2026-03-10,2026-03-11,2026-03-19,2026-04-01,2026-04-07
CAND000138,2025-07-13,Germany,Sales,Sales Executive,Male,Interview,0,2025-07-13,2025-07-16,2025-07-23,,
CAND000139,2025-04-11,UK,Supply Chain,Procurement Specialist,Male,Interview,0,2025-04-11,2025-04-15,2025-04-21,,
CAND000140,2025-04-14,Germany,Technology,Data Engineer,Male,Applied,0,2025-04-14,,,,
CAND000141,2026-03-29,UK,People,HR Business Partner,Male,Applied,0,2026-03-29,,,,
CAND000142,2025-08-17,Germany,Technology,Software Engineer,Male,Screen,0,2025-08-17,2025-08-18,,,
CAND000143,2025-09-17,UK,Commercial,Pricing Manager,Male,Screen,0,2025-09-17,2025-09-19,,,
CAND000144,2025-05-14,UK,Finance,Financial Analyst,Female,Screen,0,2025-05-14,2025-05-18,,,
CAND000145,2026-01-18,Netherlands,Customer Support,Customer Success Manager,Male,Applied,0,2026-01-18,,,,
CAND000146,2026-02-20,UK,Customer Support,Customer Success Manager,Male,Screen,0,2026-02-20,2026-02-22,,,
CAND000147,2025-12-08,UK,Operations,Project Manager,Male,Hired,1,2025-12-08,2025-12-09,2025-12-13,2025-12-27,2025-12-30
CAND000148,2025-05-30,UK,Customer Support,Customer Support Rep,Male,Screen,0,2025-05-30,2025-06-02,,,
CAND000149,2025-10-17,UK,Commercial,Pricing Manager,Male,Interview,0,2025-10-17,2025-10-19,2025-10-23,,
CAND000150,2025-07-18,Germany,Operations,Project Manager,Male,Applied,0,2025-07-18,,,,
CAND000151,2025-11-16,UK,Commercial,Pricing Manager,Male,Screen,0,2025-11-16,2025-11-17,,,
CAND000152,2025-09-25,France,Finance,Accountant,Male,Applied,0,2025-09-25,,,,
CAND000153,2025-04-01,UK,Operations,Site Engineer,Male,Interview,0,2025-04-01,2025-04-02,2025-04-05,,
CAND000154,2025-09-11,UK,Commercial,Commercial Analyst,Female,Interview,0,2025-09-11,2025-09-13,2025-09-20,,
CAND000155,2025-06-11,UK,Sales,Sales Executive,Male,Interview,0,2025-06-11,2025-06-15,2025-06-18,,
CAND000156,2025-04-10,Germany,Technology,Software Engineer,Male,Applied,0,2025-04-10,,,,
CAND000157,2026-01-21,UK,Customer Support,Customer Support Rep,Male,Interview,0,2026-01-21,2026-01-24,2026-01-27,,
CAND000158,2025-05-31,UK,People,HR Business Partner,Male,Applied,0,2025-05-31,,,,
CAND000159,2025-09-16,UK,Technology,Data Engineer,Male,Screen,0,2025-09-16,2025-09-20,,,
CAND000160,2025-11-22,France,Finance,Financial Analyst,Male,Hired,1,2025-11-22,2025-11-24,2025-12-02,2025-12-11,2025-12-14
CAND000161,2025-10-05,UK,Supply Chain,Procurement Specialist,Male,Interview,0,2025-10-05,2025-10-09,2025-10-16,,
CAND000162,2026-02-21,UK,Customer Support,Customer Success Manager,Male,Interview,0,2026-02-21,2026-02-22,2026-02-26,,
CAND000163,2025-11-01,UK,Customer Support,Customer Success Manager,Male,Interview,0,2025-11-01,2025-11-03,2025-11-09,,
CAND000164,2025-05-28,Germany,Sales,Account Manager,Male,Interview,0,2025-05-28,2025-06-01,2025-06-08,,
CAND000165,2026-02-02,UK,Technology,Software Engineer,Male,Interview,0,2026-02-02,2026-02-06,2026-02-09,,
CAND000166,2026-02-21,UK,Customer Support,Customer Support Rep,Male,Applied,0,2026-02-21,,,,
CAND000167,2025-10-29,UK,Supply Chain,Warehouse Manager,Male,Screen,0,2025-10-29,2025-10-30,,,
CAND000168,2026-03-21,Germany,Customer Support,Customer Success Manager,Male,Interview,0,2026-03-21,2026-03-25,2026-03-30,,
CAND000169,2025-09-02,UK,Sales,Sales Executive,Female,Screen,0,2025-09-02,2025-09-05,,,
CAND000170,2025-09-28,UK,Sales,Account Manager,Male,Offer,0,2025-09-28,2025-09-29,2025-10-02,2025-10-15,
CAND000171,2025-05-02,Germany,Customer Support,Customer Support Rep,Female,Offer,0,2025-05-02,2025-05-04,2025-05-10,2025-05-23,
CAND000172,2026-03-06,UK,Finance,Accountant,Male,Screen,0,2026-03-06,2026-03-07,,,
CAND000173,2026-01-21,France,Customer Support,Customer Success Manager,Male,Interview,0,2026-01-21,2026-01-22,2026-01-30,,
CAND000174,2025-10-07,UK,People,HR Advisor,Male,Interview,0,2025-10-07,2025-10-09,2025-10-17,,
CAND000175,2026-03-01,UK,Sales,Account Manager,Female,Screen,0,2026-03-01,2026-03-05,,,
CAND000176,2026-01-01,UK,Sales,Sales Executive,Female,Interview,0,2026-01-01,2026-01-02,2026-01-07,,
CAND000177,2025-08-07,UK,People,HR Advisor,Male,Screen,0,2025-08-07,2025-08-08,,,
CAND000178,2025-12-08,France,Finance,Financial Analyst,Male,Offer,0,2025-12-08,2025-12-12,2025-12-20,2026-01-01,
CAND000179,2025-08-16,France,Technology,Software Engineer,Male,Hired,1,2025-08-16,2025-08-20,2025-08-23,2025-08-29,2025-09-01
CAND000180,2025-12-14,France,Operations,Site Engineer,Female,Offer,0,2025-12-14,2025-12-16,2025-12-22,2026-01-04,
CAND000181,2025-09-22,France,Customer Support,Customer Support Rep,Male,Applied,0,2025-09-22,,,,
CAND000182,2026-01-17,France,Sales,Account Manager,Male,Screen,0,2026-01-17,2026-01-21,,,
CAND000183,2026-01-19,UK,People,HR Advisor,Male,Applied,0,2026-01-19,,,,
CAND000184,2025-08-19,Netherlands,Commercial,Commercial Analyst,Male,Interview,0,2025-08-19,2025-08-20,2025-08-27,,
CAND000185,2026-03-09,Germany,Operations,Project Manager,Male,Interview,0,2026-03-09,2026-03-10,2026-03-17,,
CAND000186,2026-03-08,UK,Sales,Sales Executive,Male,Interview,0,2026-03-08,2026-03-12,2026-03-16,,
CAND000187,2025-09-14,Germany,Technology,Data Analyst,Male,Screen,0,2025-09-14,2025-09-17,,,
CAND000188,2025-12-21,UK,Commercial,Commercial Analyst,Male,Applied,0,2025-12-21,,,,
CAND000189,2025-11-14,UK,Commercial,Pricing Manager,Female,Screen,0,2025-11-14,2025-11-16,,,
CAND000190,2026-03-01,UK,Finance,Accountant,Male,Interview,0,2026-03-01,2026-03-03,2026-03-07,,
CAND000191,2025-06-12,UK,Customer Support,Customer Support Rep,Male,Screen,0,2025-06-12,2025-06-16,,,
CAND000192,2025-04-26,Netherlands,Customer Support,Customer Support Rep,Male,Applied,0,2025-04-26,,,,
CAND000193,2025-08-17,Germany,Commercial,Pricing Manager,Male,Hired,1,2025-08-17,2025-08-18,2025-08-21,2025-09-03,2025-09-12
CAND000194,2025-12-29,Netherlands,Customer Support,Customer Support Rep,Male,Screen,0,2025-12-29,2026-01-01,,,
CAND000195,2025-12-07,Germany,Operations,Construction Supervisor,Male,Hired,1,2025-12-07,2025-12-09,2025-12-16,2025-12-21,2025-12-24
CAND000196,2026-01-30,Germany,Supply Chain,Warehouse Manager,Male,Interview,0,2026-01-30,2026-02-01,2026-02-05,,
CAND000197,2026-03-13,UK,Technology,Data Analyst,Male,Hired,1,2026-03-13,2026-03-14,2026-03-18,2026-03-30,2026-04-05
CAND000198,2025-05-26,UK,Operations,Site Engineer,Male,Screen,0,2025-05-26,2025-05-27,,,
CAND000199,2025-09-07,Germany,People,HR Advisor,Male,Applied,0,2025-09-07,,,,
CAND000200,2026-02-05,Netherlands,Technology,Data Analyst,Male,Interview,0,2026-02-05,2026-02-07,2026-02-11,,
CAND000201,2026-03-06,UK,Operations,Project Manager,Male,Applied,0,2026-03-06,,,,
CAND000202,2025-09-14,Germany,Customer Support,Customer Support Rep,Male,Interview,0,2025-09-14,2025-09-16,2025-09-21,,
CAND000203,2025-04-11,UK,People,HR Business Partner,Male,Offer,0,2025-04-11,2025-04-12,2025-04-18,2025-05-01,
CAND000204,2025-12-18,UK,Technology,Software Engineer,Male,Interview,0,2025-12-18,2025-12-21,2025-12-26,,
CAND000205,2025-09-14,UK,People,HR Advisor,Female,Applied,0,2025-09-14,,,,
CAND000206,2026-01-18,UK,Technology,Data Analyst,Female,Applied,0,2026-01-18,,,,
CAND000207,2025-04-28,UK,Customer Support,Customer Success Manager,Male,Hired,1,2025-04-28,2025-04-29,2025-05-05,2025-05-13,2025-05-18
CAND000208,2025-05-12,UK,Supply Chain,Logistics Coordinator,Male,Interview,0,2025-05-12,2025-05-14,2025-05-20,,
CAND000209,2026-03-20,UK,Sales,Sales Executive,Male,Interview,0,2026-03-20,2026-03-24,2026-04-01,,
CAND000210,2025-06-24,UK,Commercial,Pricing Manager,Male,Hired,1,2025-06-24,2025-06-27,2025-07-05,2025-07-13,2025-07-17
CAND000211,2025-12-21,UK,Customer Support,Customer Success Manager,Male,Applied,0,2025-12-21,,,,
CAND000212,2025-08-07,Netherlands,Commercial,Pricing Manager,Male,Screen,0,2025-08-07,2025-08-08,,,
CAND000213,2025-08-09,UK,Sales,Account Manager,Male,Screen,0,2025-08-09,2025-08-11,,,
CAND000214,2026-03-23,UK,Finance,Accountant,Male,Applied,0,2026-03-23,,,,
CAND000215,2025-09-01,France,Commercial,Commercial Analyst,Male,Hired,1,2025-09-01,2025-09-04,2025-09-12,2025-09-19,2025-09-23
CAND000216,2025-09-20,Germany,People,HR Advisor,Female,Interview,0,2025-09-20,2025-09-21,2025-09-26,,
CAND000217,2025-08-22,UK,Customer Support,Customer Support Rep,Male,Applied,0,2025-08-22,,,,
CAND000218,2025-10-31,France,Supply Chain,Procurement Specialist,Male,Interview,0,2025-10-31,2025-11-01,2025-11-06,,
CAND000219,2026-02-03,Germany,Operations,Construction Supervisor,Male,Screen,0,2026-02-03,2026-02-06,,,
CAND000220,2025-06-09,Netherlands,Customer Support,Customer Support Rep,Male,Applied,0,2025-06-09,,,,
CAND000221,2025-10-23,UK,Supply Chain,Warehouse Manager,Male,Interview,0,2025-10-23,2025-10-25,2025-11-01,,
CAND000222,2026-03-04,Netherlands,Operations,Site Engineer,Male,Screen,0,2026-03-04,2026-03-05,,,
CAND000223,2025-04-26,UK,People,HR Advisor,Male,Applied,0,2025-04-26,,,,
CAND000224,2025-06-23,Germany,Supply Chain,Procurement Specialist,Male,Interview,0,2025-06-23,2025-06-24,2025-06-27,,
CAND000225,2025-12-12,Ireland,People,HR Business Partner,Male,Hired,1,2025-12-12,2025-12-14,2025-12-19,2025-12-26,2026-01-04
CAND000226,2026-02-07,UK,Operations,Construction Supervisor,Male,Interview,0,2026-02-07,2026-02-08,2026-02-12,,
CAND000227,2025-09-13,UK,Operations,Construction Supervisor,Male,Applied,0,2025-09-13,,,,
CAND000228,2026-02-22,UK,Sales,Sales Executive,Male,Interview,0,2026-02-22,2026-02-25,2026-03-02,,
CAND000229,2025-10-27,UK,Sales,Sales Executive,Female,Interview,0,2025-10-27,2025-10-31,2025-11-05,,
CAND000230,2026-02-09,Germany,Sales,Account Manager,Male,Hired,1,2026-02-09,2026-02-13,2026-02-20,2026-03-02,2026-03-08
CAND000231,2025-07-15,UK,Technology,Data Analyst,Male,Screen,0,2025-07-15,2025-07-19,,,
CAND000232,2026-03-13,UK,Supply Chain,Procurement Specialist,Male,Applied,0,2026-03-13,,,,
CAND000233,2026-03-19,UK,Customer Support,Customer Support Rep,Male,Screen,0,2026-03-19,2026-03-23,,,
CAND000234,2026-03-13,Germany,People,HR Advisor,Male,Applied,0,2026-03-13,,,,
CAND000235,2025-09-20,UK,Commercial,Pricing Manager,Female,Screen,0,2025-09-20,2025-09-23,,,
CAND000236,2025-08-17,UK,Technology,Data Analyst,Male,Screen,0,2025-08-17,2025-08-21,,,
CAND000237,2025-06-29,Germany,Supply Chain,Logistics Coordinator,Female,Offer,0,2025-06-29,2025-07-02,2025-07-05,2025-07-18,
CAND000238,2025-07-31,France,Finance,Financial Analyst,Male,Screen,0,2025-07-31,2025-08-03,,,
CAND000239,2025-06-28,Germany,People,HR Business Partner,Male,Interview,0,2025-06-28,2025-06-30,2025-07-04,,
CAND000240,2025-10-03,France,Operations,Construction Supervisor,Male,Interview,0,2025-10-03,2025-10-05,2025-10-08,,
