survey_id,employee_id,survey_date,country,department,engagement_score,wellbeing_score,manager_support_score,career_growth_score,inclusion_score,intent_to_leave_flag
SRV0000175,EMP00059,2025-03-31,UK,Customer Support,63.8,59.0,62.1,57.3,60.3,0
SRV0000176,EMP00059,2025-09-30,UK,Customer Support,70.6,63.4,62.3,61.0,61.2,0
SRV0000177,EMP00059,2026-03-31,UK,Customer Support,59.2,66.5,64.5,52.1,66.1,0
SRV0000178,EMP00060,2025-03-31,France,Finance,64.3,58.7,69.9,59.5,72.4,1
SRV0000179,EMP00060,2025-09-30,France,Finance,66.4,60.6,75.4,49.7,69.8,0
SRV0000180,EMP00060,2026-03-31,France,Finance,59.0,54.4,79.6,56.5,75.2,1
SRV0000181,EMP00061,2025-03-31,Germany,Customer Support,56.1,43.2,56.5,46.2,62.3,0
SRV0000182,EMP00061,2025-09-30,Germany,Customer Support,58.0,38.6,60.0,57.7,61.8,0
SRV0000183,EMP00061,2026-03-31,Germany,Customer Support,59.2,50.8,51.8,44.1,65.2,0
SRV0000184,EMP00062,2025-03-31,Germany,Technology,75.7,59.1,63.9,66.4,56.9,0
SRV0000185,EMP00062,2025-09-30,Germany,Technology,74.8,64.9,68.7,71.9,57.6,0
SRV0000186,EMP00062,2026-03-31,Germany,Technology,80.6,69.6,59.2,76.5,61.4,0
SRV0000187,EMP00063,2025-03-31,UK,Operations,61.0,58.0,61.3,45.6,67.4,0
SRV0000188,EMP00063,2025-09-30,UK,Operations,50.6,52.2,58.7,58.4,66.4,0
SRV0000189,EMP00063,2026-03-31,UK,Operations,46.1,47.7,61.7,56.3,63.7,1
SRV0000190,EMP00064,2025-03-31,Netherlands,Finance,99.7,93.2,73.7,78.1,69.9,0
SRV0000191,EMP00064,2025-09-30,Netherlands,Finance,89.6,77.7,72.8,73.7,79.2,0
SRV0000192,EMP00064,2026-03-31,Netherlands,Finance,100.0,93.0,78.6,76.7,75.5,0
SRV0000193,EMP00065,2025-03-31,UK,Finance,85.5,84.0,79.9,70.7,70.3,0
SRV0000194,EMP00065,2025-09-30,UK,Finance,81.8,84.3,76.4,73.4,78.9,0
SRV0000195,EMP00065,2026-03-31,UK,Finance,84.3,75.4,80.7,74.8,69.5,1
SRV0000196,EMP00066,2025-03-31,UK,Supply Chain,64.0,53.3,66.9,56.0,63.8,0
SRV0000197,EMP00066,2025-09-30,UK,Supply Chain,67.2,55.0,61.9,68.7,59.7,0
SRV0000198,EMP00066,2026-03-31,UK,Supply Chain,59.7,54.2,55.3,54.3,62.9,0
SRV0000199,EMP00067,2025-03-31,Germany,Finance,55.5,51.1,71.3,50.2,60.7,0
SRV0000200,EMP00067,2025-09-30,Germany,Finance,58.5,66.5,66.4,63.6,66.6,0
SRV0000201,EMP00067,2026-03-31,Germany,Finance,54.9,59.5,62.6,60.2,72.8,0
SRV0000202,EMP00068,2025-03-31,UK,Technology,79.9,69.3,73.8,77.4,74.7,0
SRV0000203,EMP00068,2025-09-30,UK,Technology,79.2,65.8,71.6,68.0,63.5,0
SRV0000204,EMP00068,2026-03-31,UK,Technology,74.5,72.1,70.0,80.9,74.8,0
SRV0000205,EMP00069,2025-03-31,UK,Operations,64.6,46.5,59.7,57.4,67.2,0
SRV0000206,EMP00069,2025-09-30,UK,Operations,54.1,52.1,53.0,53.9,63.9,0
SRV0000207,EMP00069,2026-03-31,UK,Operations,47.8,37.8,54.7,46.0,64.6,0
SRV0000208,EMP00070,2025-03-31,Germany,Operations,48.5,36.9,57.4,40.9,55.3,0
SRV0000209,EMP00070,2025-09-30,Germany,Operations,44.6,26.2,48.7,34.4,48.1,1
SRV0000210,EMP00070,2026-03-31,Germany,Operations,38.2,39.1,41.2,37.2,55.9,0
SRV0000211,EMP00071,2025-03-31,UK,Customer Support,65.4,60.2,59.3,57.6,64.7,0
SRV0000212,EMP00071,2025-09-30,UK,Customer Support,70.9,53.3,70.0,53.3,58.3,1
SRV0000213,EMP00071,2026-03-31,UK,Customer Support,59.9,58.1,67.0,56.2,63.2,0
SRV0000214,EMP00072,2025-03-31,Netherlands,Operations,64.0,55.6,63.3,51.3,60.2,0
SRV0000215,EMP00072,2025-09-30,Netherlands,Operations,55.6,61.4,56.8,47.0,66.9,1
SRV0000216,EMP00072,2026-03-31,Netherlands,Operations,50.5,43.0,53.1,57.6,61.5,0
SRV0000217,EMP00073,2025-03-31,Germany,Finance,44.9,53.0,66.4,59.3,61.3,0
SRV0000218,EMP00073,2025-09-30,Germany,Finance,50.2,45.4,60.7,63.5,58.7,1
SRV0000219,EMP00073,2026-03-31,Germany,Finance,55.0,45.5,57.6,50.0,61.6,0
SRV0000220,EMP00074,2025-03-31,UK,Sales,71.8,71.5,61.7,70.5,71.2,0
SRV0000221,EMP00074,2025-09-30,UK,Sales,73.2,63.7,68.6,67.3,66.5,0
SRV0000222,EMP00074,2026-03-31,UK,Sales,65.1,67.4,68.5,64.9,61.2,0
SRV0000223,EMP00075,2025-03-31,UK,Operations,53.0,52.2,53.1,44.1,55.0,0
SRV0000224,EMP00075,2025-09-30,UK,Operations,43.8,45.0,57.3,47.9,63.7,1
SRV0000225,EMP00075,2026-03-31,UK,Operations,40.0,48.7,52.8,38.7,60.3,0
SRV0000226,EMP00076,2025-03-31,Germany,Technology,66.0,56.7,62.1,66.9,60.9,0
SRV0000227,EMP00076,2025-09-30,Germany,Technology,74.4,55.1,61.2,70.5,62.9,0
SRV0000228,EMP00076,2026-03-31,Germany,Technology,69.0,66.0,65.6,74.4,64.1,0
SRV0000229,EMP00077,2025-03-31,UK,Operations,43.0,29.7,54.9,41.2,58.0,1
SRV0000230,EMP00077,2025-09-30,UK,Operations,36.8,35.7,48.6,46.9,51.8,1
SRV0000231,EMP00077,2026-03-31,UK,Operations,28.0,37.8,43.4,34.0,56.7,1
SRV0000232,EMP00078,2025-03-31,France,Customer Support,67.5,58.7,56.4,66.8,68.7,0
SRV0000233,EMP00078,2025-09-30,France,Customer Support,73.2,54.2,65.9,64.2,56.6,0
SRV0000234,EMP00078,2026-03-31,France,Customer Support,66.0,66.0,55.7,56.4,66.0,0
SRV0000235,EMP00079,2025-03-31,UK,Operations,59.1,54.4,64.6,61.8,66.9,0
SRV0000236,EMP00079,2025-09-30,UK,Operations,58.8,53.3,53.0,50.4,56.8,0
SRV0000237,EMP00079,2026-03-31,UK,Operations,58.5,51.3,60.1,60.1,67.5,1
SRV0000238,EMP00080,2025-03-31,Ireland,Supply Chain,44.2,44.8,57.8,42.9,54.7,1
SRV0000239,EMP00080,2025-09-30,Ireland,Supply Chain,41.8,33.1,54.3,39.7,50.5,1
SRV0000240,EMP00080,2026-03-31,Ireland,Supply Chain,31.0,30.6,46.1,50.9,48.4,1
SRV0000241,EMP00081,2025-03-31,France,Supply Chain,53.7,57.0,59.4,55.5,66.5,0
SRV0000242,EMP00081,2025-09-30,France,Supply Chain,60.2,44.6,52.0,55.6,61.6,0
SRV0000243,EMP00081,2026-03-31,France,Supply Chain,52.0,55.2,48.5,60.5,53.0,1
SRV0000244,EMP00082,2025-03-31,Germany,Technology,59.0,67.8,69.7,75.6,58.7,0
SRV0000245,EMP00082,2025-09-30,Germany,Technology,67.9,55.0,69.9,70.7,67.1,0
SRV0000246,EMP00082,2026-03-31,Germany,Technology,64.4,63.7,59.9,64.1,60.8,0
SRV0000247,EMP00083,2025-03-31,UK,Sales,70.0,64.1,66.8,69.4,63.5,0
SRV0000248,EMP00083,2025-09-30,UK,Sales,64.5,65.1,63.0,59.4,65.4,0
SRV0000249,EMP00083,2026-03-31,UK,Sales,60.8,57.7,66.7,57.3,60.7,1
SRV0000250,EMP00084,2025-03-31,UK,Operations,58.1,52.9,62.4,49.6,55.6,1
SRV0000251,EMP00084,2025-09-30,UK,Operations,61.1,45.9,62.9,51.6,57.2,0
SRV0000252,EMP00084,2026-03-31,UK,Operations,65.0,42.7,58.9,61.8,64.7,0
SRV0000253,EMP00085,2025-03-31,UK,Operations,59.5,55.2,65.8,50.3,65.2,0
SRV0000254,EMP00085,2025-09-30,UK,Operations,44.0,53.4,60.3,40.2,57.0,0
SRV0000255,EMP00085,2026-03-31,UK,Operations,46.4,38.4,54.5,45.4,63.2,0
SRV0000256,EMP00086,2025-03-31,UK,Operations,58.7,57.3,64.7,57.4,58.6,1
SRV0000257,EMP00086,2025-09-30,UK,Operations,57.4,47.1,54.0,64.7,65.9,1
SRV0000258,EMP00086,2026-03-31,UK,Operations,55.0,43.6,58.0,52.9,57.8,1
SRV0000259,EMP00087,2025-03-31,UK,Operations,46.3,50.0,56.3,51.7,55.5,1
SRV0000260,EMP00087,2025-09-30,UK,Operations,51.7,43.2,62.6,50.4,62.6,1
SRV0000261,EMP00087,2026-03-31,UK,Operations,46.2,42.4,55.1,54.1,54.3,1
SRV0000262,EMP00088,2025-03-31,France,Supply Chain,62.3,56.7,58.6,61.5,64.2,1
SRV0000263,EMP00088,2025-09-30,France,Supply Chain,55.5,58.3,61.4,63.4,64.4,0
SRV0000264,EMP00088,2026-03-31,France,Supply Chain,58.7,48.1,49.0,57.1,65.3,1
SRV0000265,EMP00089,2025-03-31,Germany,Customer Support,35.4,28.2,43.5,51.2,57.1,1
SRV0000266,EMP00089,2025-09-30,Germany,Customer Support,44.9,30.2,53.0,38.6,57.2,1
SRV0000267,EMP00089,2026-03-31,Germany,Customer Support,31.7,31.9,51.9,44.6,52.1,1
SRV0000268,EMP00090,2025-03-31,UK,Sales,72.1,57.8,61.3,65.5,67.3,0
SRV0000269,EMP00090,2025-09-30,UK,Sales,63.4,60.5,67.7,67.0,62.3,0
SRV0000270,EMP00090,2026-03-31,UK,Sales,73.3,53.2,62.5,57.1,72.8,1
SRV0000271,EMP00091,2025-03-31,Germany,Commercial,69.9,57.3,58.6,63.5,64.6,0
SRV0000272,EMP00091,2025-09-30,Germany,Commercial,68.9,58.6,55.0,71.3,59.4,0
SRV0000273,EMP00091,2026-03-31,Germany,Commercial,63.4,52.8,53.1,69.8,58.3,0
SRV0000274,EMP00092,2025-03-31,UK,Customer Support,73.9,59.2,70.0,60.5,69.0,0
SRV0000275,EMP00092,2025-09-30,UK,Customer Support,67.8,63.6,72.6,55.8,65.4,0
SRV0000276,EMP00092,2026-03-31,UK,Customer Support,67.4,64.7,71.0,63.4,71.5,0
